pgs_id,trait_label,ancestry_display,eta,se,Q,I2,k_eval,auc_pooled,lo_pooled,hi_pooled
PGS019010,Retinal detachments and defects,East Asian,0.5952158008305165,0.08936559401509402,NA,NA,1,0.644560995675965,0.6034974245665875,0.6836014382800553
PGS019011,Other retinal disorders,East Asian,0.2413616317015871,0.03476880477425221,NA,NA,1,0.560049174662585,0.5431957461011863,0.5767652843552723
PGS019012,Other retinal disorders,East Asian,0.26641030875163696,0.03492871470437438,NA,NA,1,0.566211429646933,0.5493265435889183,0.58294399223768
PGS019013,Other retinal disorders,East Asian,0.25428683995498336,0.0348507993903908,NA,NA,1,0.563231355528836,0.5463612655162772,0.5799563985072868
PGS019014,Other retinal disorders,East Asian,0.2548364584935573,0.03485431055148946,NA,NA,1,0.563366557974152,0.5464957797537984,0.5800919598540338
PGS019015,Other retinal disorders,East Asian,0.2505605999184961,0.03482704762712585,NA,NA,1,0.562314478819528,0.5454490982859757,0.5790370434585805
PGS019016,Degeneration of macula and posterior pole of retina,East Asian,0.34038493693627386,0.052598994027807454,NA,NA,1,0.58428402568808,0.5590459286800232,0.6090876855884332
PGS019017,Degeneration of macula and posterior pole of retina,East Asian,0.34738410397023933,0.05267544503673149,NA,NA,1,0.585983087541584,0.560733690644933,0.6107885305495677
PGS019018,Degeneration of macula and posterior pole of retina,East Asian,0.3402729032402971,0.05259777436684343,NA,NA,1,0.584256812871785,0.5590188999772384,0.6090604408529655
PGS019019,Degeneration of macula and posterior pole of retina,East Asian,0.35001179983761577,0.0527042764396759,NA,NA,1,0.586620440344289,0.5613669039649327,0.6114264456164985
PGS019020,Degeneration of macula and posterior pole of retina,East Asian,0.34525582419503686,0.0526521451176988,NA,NA,1,0.585466657854898,0.5602206548388883,0.6102716025949055
PGS019021,Peripheral retinal degenerations,East Asian,0.6902003773617877,0.10374411350065214,NA,NA,1,0.666011500211189,0.6193669015623186,0.7096199246620871
PGS019022,Peripheral retinal degenerations,East Asian,0.689590097664211,0.10372739425424796,NA,NA,1,0.6658757357337591,0.6192307433124487,0.7094874003690844
PGS019023,Peripheral retinal degenerations,East Asian,0.69008324338919,0.10374090385481433,NA,NA,1,0.665985444402389,0.6193407697925984,0.7095944911369381
PGS019024,Peripheral retinal degenerations,East Asian,0.6897827231078411,0.10373267053855792,NA,NA,1,0.6659185906824429,0.6192737220169763,0.7095292331312977
