trait_label,pgs_id,ancestry_display,I2,k_eval,Q,auc_pooled
Obesity in individuals aged 24-29.9,PGS000717,European,0,2,0.11993522069255988,0.624993582628047
Obesity in individuals aged 30-69.9,PGS000716,European,0,2,0,0.569
Obesity in individuals aged 30-69.9,PGS000717,European,0,2,0.6261361011338544,0.5986392058170397
Obesity prevalence,PGS000770,European,91.80402907494974,3,24.402233954822552,0.5870364699197561
Oestradiol > 212 pmol/L,PGS001182,European,80.49061502373749,2,5.125738208645333,0.8550614339052975
Often felt loved as a child,PGS001090,European,0,2,0.9632224105716344,0.5521075075179439
Oligoarthritis Juvenile Idiophatic Arthritis,PGS000325,European,38.04491190407554,4,4.842217309666527,0.7765379533577008
Osteoarthritis,PGS001290,European,93.67381517004452,2,15.807315576124864,0.6804662836804358
Osteoporosis,PGS001273,European,88.17507970627064,2,8.456716621847246,0.7717569860784146
Overweight in individuals aged 12-15.9,PGS000716,European,0,2,0.00865397161763691,0.657015464006517
Overweight in individuals aged 12-15.9,PGS000717,European,0,2,0.03086537688565455,0.5889318770223338
Overweight in individuals aged 14-29.9,PGS000716,European,0,2,0,0.591
Overweight in individuals aged 14-29.9,PGS000717,European,0,2,0.3793067799030953,0.5999949958815577
Overweight in individuals aged 16-17.9,PGS000716,European,0,2,0.00163130587257185,0.6234925369904674
Overweight in individuals aged 16-17.9,PGS000717,European,0,2,0.01426098616273997,0.6164742272476247
Overweight in individuals aged 18-23.9,PGS000716,European,0,2,0.01452999933139269,0.6014996842621105
Overweight in individuals aged 18-23.9,PGS000717,European,0,2,0.11999342591535549,0.5934973803133279
Overweight in individuals aged 30-69.9,PGS000716,European,0,2,0,0.568
Overweight in individuals aged 30-69.9,PGS000717,European,0,2,0.8536336620983921,0.5834987112598162
PE +/- DVT,PGS001277,European,65.85353869654334,2,2.928561150489611,0.6530937911825556
Paracetamol use self-reported,PGS001115,European,84.62618178115862,2,6.504565006332981,0.597304310361079
Parkinson's disease,PGS001774,European,97.42390908779036,4,116.45551738027524,0.6555869388610054
Paroxysmal atrial fibrillation,PGS005388,East Asian,0,2,0.4631249030393469,0.7195716756726592
Past tobacco smoking (Smoked at least once),PGS001046,European,94.24613629781528,2,17.37962613922022,0.6111342174166747
Past tobacco smoking (Smoked occasionally),PGS001047,European,67.23673771824483,2,3.0521991106998785,0.5950593852431408
Polymyalgia rheumatica,PGS001051,European,87.21319715467887,2,7.820563217379347,0.7731149173437342
Prevalent coronary heart disease,PGS001780,European,99.885829359258,2,875.8819198185568,0.8494862074356964
Prevalent coronary heart disease,PGS005091,European,94.37325791477808,3,35.54454726568673,0.7867384319156606
Prevalent coronary heart disease,PGS005092,European,95.72968238886756,3,46.83492381892461,0.7865681432375118
Prevalent gout cases,PGS000126,European,99.8816384928212,2,844.8692685954728,0.7388490045199706
Prevalent type 2 diabetes,PGS001781,European,99.9247735307656,2,1329.3193342411605,0.7788944060775327
Previous Smoker,PGS001128,European,95.26139077766985,2,21.10323837820625,0.6062959513108828
Primary open-angle glaucoma (POAG),PGS000137,European,76.73402994878738,4,12.894368871774764,0.7201710335530593
Prolapsed disc/slipped disc,PGS000964,European,28.67436204213422,2,1.402020407571721,0.5500204760947729
Prostate cancer,PGS000348,European,0,2,0,0.64
Prostate cancer,PGS001291,European,94.84758468672602,2,19.40837333946544,0.894143298591631
Prostate cancer,PGS003985,European,92.97654951462694,4,42.71404783514536,0.6814728969352255
Prostate cancer,PGS004001,European,89.38889347508729,4,28.272263528375763,0.6837419568495516
Prostate cancer,PGS004027,European,90.28210560923678,4,30.870884981539575,0.6900544472033329
Prostate cancer,PGS004042,European,91.6218967650672,4,35.80762752470502,0.6924526063806616
Prostate cancer,PGS004055,European,91.469704983095,4,35.16877193643027,0.688028839782297
Prostate cancer,PGS004071,European,90.2331479507314,4,30.71614052170124,0.6889069539882915
Prostate cancer,PGS004085,European,91.484015358559,4,35.22787001518557,0.6861465743324627
Prostate cancer,PGS004099,European,92.05904532695884,4,37.7788329429047,0.6861548422604692
Prostate cancer,PGS004109,European,82.596861622771,4,17.238270103772358,0.6469122385958704
