performance_id,pgs_id,sampleset_id,reported_trait,ancestry_display,train_bucket,auc,ci_source,cohort_txt,note
PPM021080,PGS004855,PSS011512,White blood count,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021082,PGS004857,PSS011512,White blood count,European,Train: European-only,NA,none,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021085,PGS004859,PSS011514,Type 2 diabetes,African,Train: Multi incl. EUR,0.76,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021086,PGS004859,PSS011516,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,0.84,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021087,PGS004859,PSS011517,Type 2 diabetes,East Asian,Train: Multi incl. EUR,0.84,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021088,PGS004859,PSS011518,Type 2 diabetes,European,Train: Multi incl. EUR,0.77,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021089,PGS004859,PSS011519,Type 2 diabetes,South Asian,Train: Multi incl. EUR,0.88,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021090,PGS004859,PSS011515,Type 2 diabetes,African,Train: Multi incl. EUR,0.75,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021410,PGS004923,PSS011737,Type 2 diabetes,European,Train: Multi incl. EUR,0.737,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021411,PGS002771,PSS011737,Type 2 diabetes,European,Train: European-only,0.735,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021412,PGS003443,PSS011737,Type 2 diabetes,European,Train: Multi incl. EUR,0.731,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021413,PGS003444,PSS011737,Type 2 diabetes,European,Train: Multi excl. EUR,0.731,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021414,PGS003445,PSS011737,Type 2 diabetes,European,Train: Multi excl. EUR,0.731,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021415,PGS003867,PSS011737,Type 2 diabetes,European,Train: Multi incl. EUR,0.73,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021416,PGS000330,PSS011737,Type 2 diabetes,European,Train: European-only,0.726,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021417,PGS003103,PSS011737,Type 2 diabetes,European,Train: European-only,0.725,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021418,PGS002026,PSS011737,Type 2 diabetes,European,Train: European-only,0.714,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021419,PGS000729,PSS011737,Type 2 diabetes,European,Train: European-only,0.712,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021420,PGS000713,PSS011737,Type 2 diabetes,European,Train: European-only,0.712,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021421,PGS001818,PSS011737,Type 2 diabetes,European,Train: European-only,0.709,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021422,PGS000805,PSS011737,Type 2 diabetes,European,Train: European-only,0.707,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021423,PGS001357,PSS011737,Type 2 diabetes,European,Train: European-only,0.704,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021424,PGS002671,PSS011737,Type 2 diabetes,European,Train: European-only,0.704,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021425,PGS002243,PSS011737,Type 2 diabetes,European,Train: European-only,0.703,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021426,PGS001781,PSS011737,Type 2 diabetes,European,Train: European-only,0.702,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021427,PGS000036,PSS011737,Type 2 diabetes,European,Train: Multi incl. EUR,0.701,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021428,PGS000014,PSS011737,Type 2 diabetes,European,Train: European-only,0.7,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021429,PGS000868,PSS011737,Type 2 diabetes,European,Train: European-only,0.696,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021430,PGS002780,PSS011737,Type 2 diabetes,European,Train: European-only,0.694,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021431,PGS000864,PSS011737,Type 2 diabetes,European,Train: European-only,0.687,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021488,PGS003443,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,0.78,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021489,PGS003444,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: Multi excl. EUR,0.78,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021490,PGS003445,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: Multi excl. EUR,0.78,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021491,PGS004923,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,0.777,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021492,PGS003867,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: Multi incl. EUR,0.776,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021493,PGS002771,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.775,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021494,PGS003103,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.77,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021495,PGS000330,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.768,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021496,PGS002026,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.764,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021497,PGS000805,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.764,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021498,PGS001818,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.762,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
PPM021499,PGS000713,PSS011736,Type 2 diabetes,Hispanic or Latin American,Train: European-only,0.762,reported_native_or_parsed,AllofUs,Catalog evaluation whose cohort is All of Us; not the manuscript All of Us analysis
