trait_label,trained_bucket,target_ancestry,pgs_id,delta,delta_se,is_pooled,eur_k,tgt_k,eur_classes,tgt_classes,eur_covariates_txt,tgt_covariates_txt,covariate_matched,either_side_clinical,either_side_mixed_classes
Type 2 diabetes,Train: European-only,East Asian,PGS002771,-0.006999999999999895,0.028475773539175894,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002771,0.04000000000000015,0.004188868467748143,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS002771,0.007000000000000117,0.007840113943505292,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,East Asian,PGS002780,0.017999999999999905,0.029487062656656873,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS002780,0.061999999999999944,0.004389664238522682,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS002780,0.018999999999999906,0.008322936079373382,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Epithelial non-mucinous ovarian cancer,Train: European-only,East Asian,PGS003394,-0.052999999999999936,0.013566309868791749,FALSE,1,1,None (PRS only),None (PRS only),,,TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS003443,0.006999999999999895,0.027678361787608772,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003443,0.04899999999999993,0.00418045110844549,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,South Asian,PGS003443,0.014999999999999902,0.007840551348671326,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex assessment centre (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,PGS003850,-0.030000000000000027,0.009180255633153205,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age, sex, PCs 1-4","Age, sex, PCs 1-4",TRUE,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003850,-0.020000000000000018,0.009177568383813029,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age, sex, PCs 1-4","Age, sex, PCs 1-4",TRUE,FALSE,FALSE
Colorectal cancer,Train: European-only,African,PGS003851,-0.10704898666120044,0.02780273585452884,TRUE,2,2,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex || Age, sex, PCs 1-10","age, sex || Age, sex, PCs 1-10",TRUE,FALSE,FALSE
Colorectal cancer,Train: European-only,East Asian,PGS003851,-0.04432621120828717,0.032772487540457584,FALSE,2,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex || Age, sex, PCs 1-10","age, sex",TRUE,FALSE,FALSE
Colorectal cancer,Train: European-only,Hispanic or Latin American,PGS003851,-0.05071728498401462,0.02431869340562888,TRUE,2,2,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex || Age, sex, PCs 1-10","age, sex || Age, sex, PCs 1-10",TRUE,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,African,PGS003852,-0.06000000000000005,0.011414688550190502,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age, sex, PCs 1-4","Age, sex, PCs 1-4",TRUE,FALSE,FALSE
Colorectal cancer,Train: Multi incl. EUR,Hispanic or Latin American,PGS003852,-0.030000000000000027,0.00916929372459477,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age, sex, PCs 1-4","Age, sex, PCs 1-4",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS003867,0.04600000000000026,0.004389823699797439,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,PGS003867,0.008399999999999963,0.010036729237164534,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"Age at baseline, sex (PGS adjusted for 20 PCs prior to model fitting)","age, sex, array version, and the first 10 principal components of ancestry",TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS003983,-0.0361667022447455,0.01449318320669863,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS003984,-0.00726951747036142,0.011772286677599978,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS003999,-0.02679054853281937,0.014889030411334912,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004000,-0.0189758967656648,0.011233443230964115,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004015,0.0052240127908415035,0.011094212004807823,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004025,-0.035597617486722744,0.014812442388941924,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004040,-0.036171422360813166,0.014704846806928165,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004041,0.0015454817105762242,0.011298571656155661,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004053,-0.03502902943428221,0.014744525368471468,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004054,-0.004638765746073359,0.011292974867384066,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004069,-0.03345216404111806,0.014430545870119748,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004070,-0.004183091397301331,0.011353019136324919,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004083,-0.02927481180098901,0.014596155260741693,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004098,0.010191526566252551,0.011371255302415366,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Type 2 diabetes,Train: European-only,South Asian,PGS004106,-0.018664817868028982,0.003530332420122733,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004107,-0.02309685784606519,0.014356153587575,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004108,-0.011927004150997567,0.011742301146981186,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Seropositive RA,Train: Multi incl. EUR,South Asian,PGS004118,0.06389454678874207,0.03183667377588799,FALSE,4,1,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004123,-0.023043464512588985,0.014314215162653268,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004124,0.009713239104176763,0.01147278969083409,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Seropositive RA,Train: Multi incl. EUR,South Asian,PGS004133,0.03177793338439905,0.0342221346765779,FALSE,4,1,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Breast cancer,Train: European-only,South Asian,PGS004153,-0.028031899065128374,0.014602776699983961,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,PGS004154,-0.010925392299171444,0.011390922451119138,TRUE,4,2,None (PRS only),None (PRS only),0,0,TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004696,-0.01200000000000001,0.00552832732555459,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004696,-0.06800000000000006,0.017254772082143394,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004696,0.029000000000000026,0.012462947232474849,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004697,-0.017000000000000015,0.005553369958203193,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004697,-0.06500000000000006,0.01723526304571787,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004697,0.030000000000000027,0.012464606097648285,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,PGS004698,-0.025000000000000022,0.005580671061612449,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,Hispanic or Latin American,PGS004698,-0.07400000000000007,0.017324774550626042,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,PGS004698,0.0129999999999999,0.012755101100989413,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 PCs","age, sex, 10 PCs",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,African,PGS004859,-0.01903665632198348,0.005636000649182799,FALSE,1,2,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 principal components","age, sex, 10 principal components",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,East Asian,PGS004859,0.06999999999999995,0.030339897086615747,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 principal components","age, sex, 10 principal components",TRUE,FALSE,FALSE
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,PGS004859,0.06999999999999995,0.011450246485108595,FALSE,1,1,Age/sex/PCs/technical,Age/sex/PCs/technical,"age, sex, 10 principal components","age, sex, 10 principal components",TRUE,FALSE,FALSE
