trait_label,trained_bucket,target_ancestry,n_pairs,delta_fixed,se_fixed,lo_fixed,hi_fixed,sig_fixed,n_pairs_one_per_pss,delta_one_per_pss,se_one_per_pss,lo_one_per_pss,hi_one_per_pss,sig_one_per_pss,tau2_random,I2_stage2,delta_random,se_random,lo_random,hi_random,sig_random,eur_n_sample_sets,tgt_n_sample_sets,all_pgs_share_one_target_sample_set,all_pgs_share_one_eur_sample_set,re_applicable,n_delta_random,single_pgs_sensitivity,reduced_fixed_effect,robust_fixed_and_random,robustness
Breast cancer,Train: European-only,South Asian,11,-0.023141716438275492,0.004305296483407145,-0.0315800975457535,-0.014703335330797488,TRUE,2,0.00145124972327832,0.009229548207729879,-0.01663866476387224,0.019541164210428882,FALSE,0.001825557699554297,91.1761084321105,-0.003998830072908463,0.031636024702126855,-0.0660054384890771,0.058007778343260166,FALSE,6,3,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,significant in the full fixed effect only; sensitive to dependence
Type 2 diabetes,Train: Multi incl. EUR,African,1,-0.01903665632198348,0.005636000649182799,-0.03008321759438177,-0.007990095049585194,TRUE,1,-0.01903665632198348,0.005636000649182799,-0.03008321759438177,-0.007990095049585194,TRUE,NA,NA,NA,NA,NA,NA,NA,1,2,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,significant; single ΔAUC (k = 1; random effects not applicable)
Incident coronary heart disease,Train: Multi incl. EUR,East Asian,3,-0.01795905630370568,0.0032066030558399183,-0.02424399829315192,-0.01167411431425944,TRUE,1,-0.01200000000000001,0.00552832732555459,-0.022835521558087005,-0.001164478441913015,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Apparent Treatment-Resistant Hypertension,Train: Multi incl. EUR,African,2,-0.015007342309641613,0.008955303743747065,-0.03255973764738586,0.002545053028102635,FALSE,1,-0.014000000000000012,0.012711463735465082,-0.03891446892151157,0.010914468921511548,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,"not significant (corrected fixed effect); sensitivity is the single PGS, not random effects"
Breast cancer,Train: Multi incl. EUR,East Asian,1,-0.009999999999999898,0.05865547446114814,-0.12496472994385024,0.10496472994385045,FALSE,1,-0.009999999999999898,0.05865547446114814,-0.12496472994385024,0.10496472994385045,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,not significant; single ΔAUC (k = 1; random effects not applicable)
Breast Carcinoma,Train: European-only,South Asian,4,-0.003503949061665266,0.014832991973077329,-0.03257661332889683,0.0255687152055663,FALSE,1,0.004085574400860215,0.02757802412885525,-0.04996735289169607,0.0581385016934165,FALSE,NA,NA,NA,NA,NA,NA,NA,3,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,"not significant (corrected fixed effect); sensitivity is the single PGS, not random effects"
Stroke excluding subarachnoid hemorrhage,Train: Multi incl. EUR,South Asian,10,-0.0030549829004900705,0.0036040166141947045,-0.010118855464311691,0.004008889663331551,FALSE,1,-0.00726951747036142,0.011772286677599978,-0.030343199358457376,0.015804164417734537,FALSE,NA,NA,NA,NA,NA,NA,NA,4,2,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,"not significant (corrected fixed effect); sensitivity is the single PGS, not random effects"
Type 2 diabetes,Train: European-only,South Asian,12,-1.4476444030600476e-4,0.002056130411488322,-0.004174780046823115,0.003885251166211106,FALSE,3,-0.01602382570842699,0.003179226493694797,-0.02225510963606879,-0.009792541780785187,TRUE,6.711054087896607e-5,50.99567761972822,-0.013423307275401843,0.006709254106941705,-0.026573445325007584,-2.7316922579610076e-4,TRUE,7,4,FALSE,FALSE,TRUE,3,FALSE,TRUE,FALSE,not significant (corrected fixed effect)
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,African,4,0.007348232995708683,0.0051861630371520745,-0.002816646557109383,0.01751311254852675,FALSE,1,0.013000000000000123,0.01046126776611976,-0.007504084821594606,0.03350408482159485,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,"not significant (corrected fixed effect); sensitivity is the single PGS, not random effects"
Type 2 diabetes,Train: Multi incl. EUR,Middle Eastern or North African,1,0.008399999999999963,0.010036729237164534,-0.011271989304842522,0.02807198930484245,FALSE,1,0.008399999999999963,0.010036729237164534,-0.011271989304842522,0.02807198930484245,FALSE,NA,NA,NA,NA,NA,NA,NA,1,1,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,not significant; single ΔAUC (k = 1; random effects not applicable)
Coronary heart disease (incident and prevalent),Train: Multi incl. EUR,Hispanic or Latin American,4,0.01696787099233745,0.007173286386234232,0.002908229675318357,0.031027512309356547,TRUE,1,0.018999999999999906,0.01453818121351187,-0.00949483517848336,0.04749483517848317,FALSE,NA,NA,NA,NA,NA,NA,NA,2,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect only; the single PGS for that target sample set is not
Type 2 diabetes,Train: European-only,East Asian,11,0.017863765346773107,0.009010617866707373,2.0295432802665617e-4,0.03552457636551956,TRUE,2,0.010255648375190222,0.026885490083343417,-0.04243991218816287,0.06295120893854332,FALSE,0.01008457198994118,76.77263229464677,0.05538753116651995,0.0798834813182036,-0.1011840922171591,0.211959154550199,FALSE,3,2,FALSE,FALSE,TRUE,2,FALSE,TRUE,FALSE,significant in the full fixed effect only; sensitive to dependence
Type 2 diabetes,Train: Multi incl. EUR,South Asian,2,0.018418746160490235,0.007698180562385983,0.0033303122582137093,0.03350718006276676,TRUE,2,0.018418746160490235,0.007698180562385983,0.0033303122582137093,0.03350718006276676,TRUE,0.003658377897377769,81.0720863684823,0.05415633834556749,0.04676145111303067,-0.037496105835972626,0.1458087825271076,FALSE,2,2,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,significant in the fixed effect only; not in random effects
Incident coronary heart disease,Train: Multi incl. EUR,South Asian,3,0.024168064902884687,0.0072507432332198155,0.009956608165773848,0.03837952163999553,TRUE,1,0.029000000000000026,0.012462947232474849,0.004572623424349324,0.05342737657565073,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Type 2 diabetes,Train: Multi incl. EUR,East Asian,2,0.03561600100220171,0.020447880563782807,-0.004461844902812588,0.075693846907216,FALSE,2,0.03561600100220171,0.020447880563782807,-0.004461844902812588,0.075693846907216,FALSE,0.0011411994667639056,57.505642064192664,0.03727446314301046,0.03147615064476853,-0.02441879212073586,0.09896771840675678,FALSE,2,2,FALSE,FALSE,TRUE,2,FALSE,FALSE,FALSE,not significant (corrected fixed effect)
Type 2 diabetes,Train: Multi incl. EUR,Hispanic or Latin American,5,0.0356794827284969,0.0024272331319692628,0.030922105789837145,0.040436859667156655,TRUE,4,0.03113486010216244,0.0029130320275559977,0.02542531732815268,0.036844402876172196,TRUE,0.0013370891187164929,97.04963518681588,0.0415579408631163,0.018711907317837232,0.004882602520155328,0.07823327920607728,TRUE,4,4,FALSE,FALSE,TRUE,4,FALSE,TRUE,TRUE,"significant in the fixed effect, the one-per-sample-set fixed effect, and random effects"
Seropositive RA,Train: Multi incl. EUR,South Asian,2,0.048994498203977804,0.023309666841268156,0.003307551195092219,0.0946814452128634,TRUE,1,0.06389454678874207,0.03183667377588799,0.001494666188001613,0.12629442738948252,TRUE,NA,NA,NA,NA,NA,NA,NA,4,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
Type 2 diabetes,Train: European-only,Hispanic or Latin American,10,0.05214415483490029,0.0013720028301026969,0.04945502928789901,0.05483328038190158,TRUE,1,0.04200000000000015,0.004245142317818925,0.03367952105707506,0.05032047894292524,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,significant in the fixed effect and in the single PGS for that target sample set
