trait_label,trained_bucket,target_ancestry,pgs_id,eur_auc,eur_lo_mixed,eur_hi_mixed,eur_lo_correct,eur_hi_correct,tgt_auc,tgt_lo_mixed,tgt_hi_mixed,tgt_lo_correct,tgt_hi_correct,any_mixed_bound_outside_0_1,max_abs_bound_error
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000713,0.712,0.6876145569615614,0.7363854430384386,0.7069738840732667,0.7169744185860063,0.762,0.7233931398602237,0.8006068601397763,0.7549277569564002,0.7689306216937887,FALSE,0.03167623844598766
Type 2 diabetes,Train: European-only,South Asian,PGS000713,0.712,0.6876145569615614,0.7363854430384386,0.7069738840732667,0.7169744185860063,0.721,0.6439707154449443,0.7980292845550556,0.7052444415527902,0.7362283651448179,FALSE,0.06180091941023769
Type 2 diabetes,Train: European-only,East Asian,PGS000729,0.712,0.6876145569615614,0.7363854430384386,0.7069738840732667,0.7169744185860063,0.718,0.4560911537772995,0.9799088462227005,0.6620971013587847,0.7678964605690589,FALSE,0.21201238565364156
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000729,0.712,0.6876145569615614,0.7363854430384386,0.7069738840732667,0.7169744185860063,0.761,0.7225042352971154,0.7994957647028846,0.753928249438063,0.767931076010015,FALSE,0.03156468869286966
Type 2 diabetes,Train: European-only,South Asian,PGS000729,0.712,0.6876145569615614,0.7363854430384386,0.7069738840732667,0.7169744185860063,0.717,0.6454156097787551,0.7885843902212448,0.7022519435309037,0.7312970675218574,FALSE,0.05728732269938741
Type 2 diabetes,Train: European-only,East Asian,PGS000864,0.687,0.6637460512095954,0.7102539487904047,0.6819780686243238,0.6919784468064097,0.7,0.42605356618054,0.9739464338194599,0.6395361391450457,0.7542194472985844,FALSE,0.21972698652087552
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000864,0.687,0.6637460512095954,0.7102539487904047,0.6819780686243238,0.6919784468064097,0.745,0.7081458715272589,0.781854128472741,0.7379356506502315,0.7519379333858288,FALSE,0.029916195086912234
Type 2 diabetes,Train: European-only,South Asian,PGS000864,0.687,0.6637460512095954,0.7102539487904047,0.6819780686243238,0.6919784468064097,0.693,0.6200317415176763,0.7659682584823236,0.6772612660472587,0.7083017880504647,FALSE,0.05766647043185891
Type 2 diabetes,Train: European-only,East Asian,PGS000868,0.696,0.6723671166130103,0.7196328833869896,0.690976625302645,0.7009770544141066,0.727,0.44694252719139194,1.007057472808608,0.6680541122166112,0.7789421165755014,TRUE,0.22811535623310653
Type 2 diabetes,Train: European-only,Hispanic or Latin American,PGS000868,0.696,0.6723671166130103,0.7196328833869896,0.690976625302645,0.7009770544141066,0.758,0.7198312178085251,0.7961687821914749,0.7509297045576799,0.7649324198009015,FALSE,0.03123636239057337
