catalog_snapshot,trait_label,trained_bucket,target_ancestry,side,evaluation_ancestry,pgs_id,pgs_name,dev_method,n_variants,performance_id,sampleset_id,auc,estimate_ci_lower,estimate_ci_upper,ci_source,n_individuals,n_cases,n_controls,pct_male,covariates_txt,cohort_txt,or_txt,hr_txt,catalog_all_of_us
20260923,Breast Carcinoma,Train: European-only,African,European,European,PGS005348,SBayesR,SBayesR,789305,PPM023175,PSS012137,0.66,0.621,0.699,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,Target,African,PGS005348,SBayesR,SBayesR,789305,PPM023155,PSS012139,0.607,0.501,0.713,reported_native_or_parsed,4427,27,4400,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,African,Target,African,PGS005348,SBayesR,SBayesR,789305,PPM023180,PSS012139,0.611,0.514,0.707,reported_native_or_parsed,4427,27,4400,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023137,PSS012140,0.641,0.632,0.651,reported_native_or_parsed,212360,3083,209277,0,-,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023142,PSS012138,0.637,0.598,0.677,reported_native_or_parsed,8291,176,8115,0,-,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023147,PSS012137,0.658,0.619,0.697,reported_native_or_parsed,2654,194,2460,0,-,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023162,PSS012140,0.645,0.635,0.655,reported_native_or_parsed,212360,3083,209277,0,Age-specific absolute risk adjusted by PGS relative risk,UKB,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023167,PSS012138,0.638,0.598,0.679,reported_native_or_parsed,8291,176,8115,0,Age-specific absolute risk adjusted by PGS relative risk,QSKIN,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,European,European,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023172,PSS012137,0.647,0.609,0.686,reported_native_or_parsed,2654,194,2460,0,Age-specific absolute risk adjusted by PGS relative risk,MCCS,NA,NA,FALSE
20260923,Breast Carcinoma,Train: European-only,South Asian,Target,South Asian,PGS005345,SCT,SCT (Stacked Clumping and Thresholding),435538,PPM023157,PSS012141,0.659,0.585,0.732,reported_native_or_parsed,4435,43,4392,0,-,UKB,NA,NA,FALSE
