performance_id,pgs_id,sampleset_id,reported_trait,auc_parsed_single,auc_parsed_ci_lower,auc_parsed_ci_upper,auc_native,ci_native_lower,ci_native_upper,auc_native_evaldf,ci_native_lower_evaldf,ci_native_upper_evaldf,auc_native_any,ci_native_lower_any,ci_native_upper_any,auc_single,reported_ci_lower,reported_ci_upper,auc,estimate_ci_lower,estimate_ci_upper,ancestry_eval,train_bucket
PPM000015,PGS000010,PSS000009,Coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000016,PGS000011,PSS000010,Incident coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000017,PGS000010,PSS000010,Incident coronary heart disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000018,PGS000012,PSS000012,Incident coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000019,PGS000010,PSS000012,Incident coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000020,PGS000012,PSS000011,Incident coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000021,PGS000010,PSS000011,Incident coronary artery disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000022,PGS000013,PSS000015,Coronary artery disease,0.81,0.81,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,0.81,0.81,0.81,0.81,0.81,European,Train: Multi incl. EUR
PPM000023,PGS000014,PSS000017,Type 2 diabetes,0.73,0.72,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.72,0.73,0.73,0.72,0.73,European,Train: European-only
PPM000024,PGS000015,PSS000014,Breast cancer,0.69,0.68,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,0.68,0.69,0.69,0.68,0.69,European,Train: European-only
PPM000025,PGS000016,PSS000013,Atrial fibrillation,0.77,0.76,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.76,0.77,0.77,0.76,0.77,European,Train: Multi incl. EUR
PPM000026,PGS000017,PSS000016,Inflammatory bowel disease,0.63,0.62,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.62,0.64,0.63,0.62,0.64,European,Train: European-only
PPM000030,PGS000013,PSS000021,Coronary artery disease (prevalent),0.72,0.7,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.7,0.74,0.72,0.7,0.74,European,Train: Multi incl. EUR
PPM000031,PGS000013,PSS000022,Coronary artery disease (prevalent),0.89,0.88,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.88,0.91,0.89,0.88,0.91,European,Train: Multi incl. EUR
PPM000032,PGS000013,PSS000019,Coronary artery disease (prevalent),0.84,0.81,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.81,0.87,0.84,0.81,0.87,European,Train: Multi incl. EUR
PPM000033,PGS000013,PSS000020,Reccurent coronary artery disease events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000033,PGS000013,PSS000020,Reccurent coronary artery disease events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000034,PGS000018,PSS000021,Coronary artery disease (prevalent),0.72,0.7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.7,0.75,0.72,0.7,0.75,European,Train: Multi incl. EUR
PPM000035,PGS000018,PSS000022,Coronary artery disease (prevalent),0.89,0.88,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.88,0.91,0.89,0.88,0.91,European,Train: Multi incl. EUR
PPM000036,PGS000018,PSS000019,Coronary artery disease (prevalent),0.84,0.81,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,0.81,0.87,0.84,0.81,0.87,European,Train: Multi incl. EUR
PPM000037,PGS000018,PSS000020,Reccurent coronary artery disease events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000037,PGS000018,PSS000020,Reccurent coronary artery disease events,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000038,PGS000019,PSS000023,Coronary artery disease in familial hypercholesterolemia patients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000039,PGS000019,PSS000024,Coronary artery disease in familial hypercholesterolemia patients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000040,PGS000020,PSS000025,Incident type 2 diabetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000041,PGS000021,PSS000026,Severe insulin deficiency,0.96,0.94,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96,0.94,0.99,0.96,0.94,0.99,European,Train: European-only
PPM000042,PGS000022,PSS000029,Type 1 diabetes,0.8508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8508,NA,NA,0.8508,NA,NA,European,NA
PPM000043,PGS000022,PSS000028,Type 1 diabetes,0.9003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9003,NA,NA,0.9003,NA,NA,Hispanic or Latin American,NA
PPM000044,PGS000022,PSS000027,Type 1 diabetes,0.7522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7522,NA,NA,0.7522,NA,NA,African,NA
PPM000048,PGS000024,PSS000032,Type 1 diabetes,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.921,NA,NA,0.921,NA,NA,European,Train: European-only
PPM000049,PGS000021,PSS000032,Type 1 diabetes,0.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.893,NA,NA,0.893,NA,NA,European,Train: European-only
PPM000050,PGS000025,PSS000033,Incident Alzheimer's disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000051,PGS000025,PSS000034,Incident Alzheimer's disease in APOE Ɛ4 carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000052,PGS000025,PSS000035,Incident Alzheimer's disease in APOE Ɛ4 non-carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000053,PGS000026,PSS000036,Alzheimer disease,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000054,PGS000027,PSS000037,Body mass index,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000057,PGS000029,PSS000038,Breast cancer,0.64,0.53,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,0.53,0.74,0.64,0.53,0.74,East Asian,Train: East Asian-only
PPM000058,PGS000029,PSS000038,Breast cancer,0.72,0.62,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,0.62,0.82,0.72,0.62,0.82,East Asian,Train: East Asian-only
PPM000059,PGS000028,PSS000038,Breast cancer,0.62,0.52,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.52,0.73,0.62,0.52,0.73,East Asian,Train: Multi incl. EUR
PPM000060,PGS000028,PSS000039,Breast cancer,0.63,0.59,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.59,0.67,0.63,0.59,0.67,European,Train: Multi incl. EUR
PPM000061,PGS000030,PSS000041,Prostate cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000062,PGS000031,PSS000044,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000063,PGS000031,PSS000043,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000064,PGS000031,PSS000042,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,African,Train: European-only
PPM000065,PGS000032,PSS000044,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000066,PGS000032,PSS000043,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000067,PGS000032,PSS000042,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,African,Train: European-only
PPM000068,PGS000033,PSS000044,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000069,PGS000033,PSS000043,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000070,PGS000033,PSS000042,Incident type 2 diabetes cases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,African,Train: European-only
PPM000071,PGS000034,PSS000048,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000072,PGS000034,PSS000050,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000073,PGS000034,PSS000051,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000074,PGS000034,PSS000049,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000075,PGS000034,PSS000052,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000076,PGS000034,PSS000045,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000077,PGS000034,PSS000046,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000078,PGS000034,PSS000047,mean BMI difference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000080,PGS000036,PSS000054,Type 2 diabetes,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,0.66,NA,NA,European,Train: Multi incl. EUR
PPM000081,PGS000036,PSS000054,Type 2 diabetes,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,0.73,NA,NA,European,Train: Multi incl. EUR
PPM000082,PGS000037,PSS000055,"Asthma onset, up to age 38 years",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000083,PGS000037,PSS000055,Life-course-persistent asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000084,PGS000037,PSS000056,Asthma onset,0.61,0.53,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.53,0.7,0.61,0.53,0.7,European,Train: Multi excl. EUR
PPM000085,PGS000037,PSS000056,Life-course-persistent asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000086,PGS000037,PSS000055,Atopy (skin test for common allergen 2mm > control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000087,PGS000037,PSS000055,Airway hyper-responsiveness to methacholine or albuterol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000088,PGS000037,PSS000055,"Incompletely reversible airflow obstruction (IRAO, post-bronchodilator FEV1:FVC more than 2SD below mean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000089,PGS000037,PSS000055,Admitted to hospital for asthma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi excl. EUR
PPM000090,PGS000038,PSS000057,Incident stroke,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000091,PGS000039,PSS000058,Ischaemic stroke before age 75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000092,PGS000038,PSS000058,Ischaemic stroke before age 75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000093,PGS000040,PSS000059,Coeliac disease,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,0.9,NA,NA,European,Train: European-only
PPM000094,PGS000040,PSS000061,Coeliac disease,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,0.87,NA,NA,European,Train: European-only
PPM000095,PGS000040,PSS000062,Coeliac disease,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,0.86,NA,NA,European,Train: European-only
PPM000096,PGS000040,PSS000063,Coeliac disease,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,0.87,NA,NA,European,Train: European-only
PPM000097,PGS000040,PSS000060,Coeliac disease,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,0.87,NA,NA,European,Train: European-only
PPM000098,PGS000040,PSS000064,Coeliac disease,0.831,0.808,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831,0.808,0.85,0.831,0.808,0.85,European,Train: European-only
PPM000099,PGS000040,PSS000065,Coeliac disease in HLA-DQ2.5 carriers,0.669,0.625,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669,0.625,0.713,0.669,0.625,0.713,European,Train: European-only
PPM000100,PGS000041,PSS000065,Coeliac disease in HLA-DQ2.5 carriers,0.718,0.676,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718,0.676,0.761,0.718,0.676,0.761,European,Train: European-only
PPM000101,PGS000042,PSS000065,Coeliac disease in HLA-DQ2.5 carriers,0.73,0.687,0.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,0.687,0.772,0.73,0.687,0.772,European,Train: European-only
PPM000102,PGS000043,PSS000066,Venous thromboembolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000103,PGS000043,PSS000067,Venous thromboembolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000104,PGS000044,PSS000068,Elevated serum prostate-specific antigen (PSA) levels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000104,PGS000044,PSS000068,Elevated serum prostate-specific antigen (PSA) levels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000104,PGS000044,PSS000068,Elevated serum prostate-specific antigen (PSA) levels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000105,PGS000044,PSS000069,aggressive prostate cancer (Gleason score ⩾7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000106,PGS000045,PSS000070,Breast cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000107,PGS000045,PSS000071,Breast cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000108,PGS000046,PSS000070,Breast cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000109,PGS000046,PSS000071,Breast cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000110,PGS000047,PSS000070,Breast cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000111,PGS000047,PSS000071,Breast cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000112,PGS000048,PSS000072,Ovarian cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000113,PGS000048,PSS000073,Ovarian cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000114,PGS000001,PSS000070,Breast cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000115,PGS000002,PSS000070,Breast cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000116,PGS000003,PSS000070,Breast cancer in BRCA1 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000117,PGS000001,PSS000071,Breast cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000118,PGS000002,PSS000071,Breast cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000119,PGS000003,PSS000071,Breast cancer in BRCA2 mutation carriers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000120,PGS000045,PSS000074,Breast cancer in male carriers of BRCA1/2 mutations,0.59,0.55,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.55,0.63,0.59,0.55,0.63,European,Train: European-only
PPM000121,PGS000046,PSS000074,Breast cancer in male carriers of BRCA1/2 mutations,0.59,0.55,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59,0.55,0.63,0.59,0.55,0.63,European,Train: European-only
PPM000122,PGS000047,PSS000074,Breast cancer in male carriers of BRCA1/2 mutations,0.55,0.51,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.51,0.59,0.55,0.51,0.59,European,Train: European-only
PPM000123,PGS000049,PSS000075,Prostate cancer in male carriers of BRCA1/2 mutations,0.62,0.58,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,0.58,0.66,0.62,0.58,0.66,European,Train: Multi incl. EUR
PPM000124,PGS000049,PSS000077,Low prostate cancer aggressiveness (Gleason score < 7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000125,PGS000049,PSS000076,High prostate cancer aggressiveness (Gleason score ≥ 7),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
PPM000126,PGS000050,PSS000078,Breast cancer,0.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.606,NA,NA,0.606,NA,NA,East Asian,Train: East Asian-only
PPM000127,PGS000050,PSS000079,Breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Asian,Train: East Asian-only
PPM000131,PGS000052,PSS000082,breast cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000132,PGS000021,PSS000083,Type 1 diabetes aetiology (non-monogenic),0.87,0.86,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0.86,0.89,0.87,0.86,0.89,European,Train: European-only
PPM000132,PGS000021,PSS000083,Type 1 diabetes aetiology (non-monogenic),0.87,0.86,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,0.86,0.89,0.87,0.86,0.89,European,Train: European-only
PPM000133,PGS000053,PSS000085,Familial late-onset Alzheimer's disease (LOAD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000134,PGS000053,PSS000085,Familial late-onset Alzheimer's disease (LOAD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000135,PGS000054,PSS000084,Familial late-onset Alzheimer's disease (LOAD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic or Latin American,Train: European-only
PPM000136,PGS000054,PSS000084,Familial late-onset Alzheimer's disease (LOAD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic or Latin American,Train: European-only
PPM000137,PGS000053,PSS000085,Alzheimer's disease (age-at-onset),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: European-only
PPM000138,PGS000054,PSS000084,Alzheimer's disease (age-at-onset),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hispanic or Latin American,Train: European-only
PPM000139,PGS000055,PSS000087,Colorectal cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,European,Train: Multi incl. EUR
