performance_id,pgs_id,sampleset_id,auc_single,n_cases,n_controls,has_auc,inferred_any,inferred_kept,reason
PPM000385,PGS000016,PSS000217,0.78,239,10064,TRUE,TRUE,TRUE,rescued
PPM000386,PGS000007,PSS000218,0.78,828,8701,TRUE,TRUE,TRUE,rescued
PPM000387,PGS000013,PSS000219,0.6,126,10884,TRUE,TRUE,TRUE,rescued
PPM000388,PGS000007,PSS000218,0.63,828,8701,TRUE,TRUE,TRUE,rescued
PPM000389,PGS000016,PSS000217,0.57,239,10064,TRUE,TRUE,TRUE,rescued
PPM000405,PGS000126,PSS000233,0.67,4908,329972,TRUE,TRUE,TRUE,rescued
PPM000406,PGS000126,PSS000233,0.84,4908,329972,TRUE,TRUE,TRUE,rescued
PPM000422,PGS000137,PSS000245,0.8,74,1721,TRUE,TRUE,TRUE,rescued
PPM000430,PGS000138,PSS000250,0.5611035,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000431,PGS000139,PSS000250,0.5487412,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000432,PGS000140,PSS000250,0.5319298,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000433,PGS000141,PSS000250,0.5298792,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000434,PGS000142,PSS000250,0.5333024,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000435,PGS000143,PSS000250,0.5344061,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000436,PGS000144,PSS000250,0.5164074,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000437,PGS000145,PSS000250,0.5251015,14696,22013,TRUE,TRUE,TRUE,rescued
PPM000563,PGS000192,PSS000292,0.8,238,3994,TRUE,TRUE,TRUE,rescued
PPM000598,PGS000011,PSS000333,0.75,8108,37537,TRUE,TRUE,TRUE,rescued
PPM000599,PGS000013,PSS000333,0.77,8108,37537,TRUE,TRUE,TRUE,rescued
PPM000600,PGS000018,PSS000333,0.772,8108,37537,TRUE,TRUE,TRUE,rescued
PPM000601,PGS000011,PSS000331,0.763,838,6759,TRUE,TRUE,TRUE,rescued
PPM000602,PGS000013,PSS000331,0.771,838,6759,TRUE,TRUE,TRUE,rescued
PPM000603,PGS000018,PSS000331,0.775,838,6759,TRUE,TRUE,TRUE,rescued
PPM000604,PGS000011,PSS000335,0.769,419,2074,TRUE,TRUE,TRUE,rescued
PPM000605,PGS000013,PSS000335,0.776,419,2074,TRUE,TRUE,TRUE,rescued
PPM000606,PGS000018,PSS000335,0.794,419,2074,TRUE,TRUE,TRUE,rescued
PPM000610,PGS000200,PSS000333,0.748,8108,37537,TRUE,TRUE,TRUE,rescued
PPM000611,PGS000200,PSS000331,0.763,838,6759,TRUE,TRUE,TRUE,rescued
PPM000612,PGS000200,PSS000335,0.771,419,2074,TRUE,TRUE,TRUE,rescued
PPM000649,PGS000212,PSS000360,0.6609,7325,20815,TRUE,TRUE,TRUE,rescued
PPM000650,PGS000004,PSS000360,0.6573,7325,20815,TRUE,TRUE,TRUE,rescued
PPM000651,PGS000005,PSS000360,0.6595,7325,20815,TRUE,TRUE,TRUE,rescued
PPM000652,PGS000213,PSS000361,0.633,1779,20815,TRUE,TRUE,TRUE,rescued
PPM000653,PGS000004,PSS000361,0.6335999999999999,1779,20815,TRUE,TRUE,TRUE,rescued
PPM000654,PGS000005,PSS000361,0.6323,1779,20815,TRUE,TRUE,TRUE,rescued
PPM000655,PGS000214,PSS000362,0.6431,1682,20815,TRUE,TRUE,TRUE,rescued
PPM000656,PGS000004,PSS000362,0.6432,1682,20815,TRUE,TRUE,TRUE,rescued
PPM000657,PGS000005,PSS000362,0.64,1682,20815,TRUE,TRUE,TRUE,rescued
PPM000658,PGS000215,PSS000359,0.6208,718,20815,TRUE,TRUE,TRUE,rescued
PPM000659,PGS000004,PSS000359,0.6093,718,20815,TRUE,TRUE,TRUE,rescued
PPM000660,PGS000005,PSS000359,0.6291,718,20815,TRUE,TRUE,TRUE,rescued
PPM000661,PGS000216,PSS000363,0.6358,2006,20815,TRUE,TRUE,TRUE,rescued
PPM000662,PGS000004,PSS000363,0.5877,2006,20815,TRUE,TRUE,TRUE,rescued
PPM000663,PGS000005,PSS000363,0.6276,2006,20815,TRUE,TRUE,TRUE,rescued
PPM000880,PGS000328,PSS000436,0.78,1001,2802,TRUE,TRUE,TRUE,rescued
PPM000882,PGS000328,PSS000438,0.71,5524,9859,TRUE,TRUE,TRUE,rescued
PPM000986,PGS000348,PSS000501,0.64,1972,1919,TRUE,TRUE,TRUE,rescued
PPM001340,PGS000655,PSS000583,0.596,1106,8571,TRUE,TRUE,TRUE,rescued
PPM001341,PGS000655,PSS000584,0.724,79,156,TRUE,TRUE,TRUE,rescued
PPM001342,PGS000656,PSS000584,0.76,79,156,TRUE,TRUE,TRUE,rescued
PPM001365,PGS000662,PSS000596,0.833,6852,193117,TRUE,TRUE,TRUE,rescued
PPM001369,PGS000663,PSS000598,0.65,500,1091,TRUE,TRUE,TRUE,rescued
PPM001370,PGS000663,PSS000597,0.67,304,652,TRUE,TRUE,TRUE,rescued
PPM001627,PGS000714,PSS000842,0.549,191,2400,TRUE,TRUE,TRUE,rescued
PPM001670,PGS000730,PSS000871,0.624,16184,72740,TRUE,TRUE,TRUE,rescued
PPM001671,PGS000731,PSS000873,0.605,7914,81010,TRUE,TRUE,TRUE,rescued
PPM001672,PGS000732,PSS000872,0.579,4179,84745,TRUE,TRUE,TRUE,rescued
PPM001920,PGS000754,PSS000960,0.65,910,430,TRUE,TRUE,TRUE,rescued
PPM001921,PGS000754,PSS000961,0.65,2354,5379,TRUE,TRUE,TRUE,rescued
PPM001922,PGS000754,PSS000962,0.62,406,706,TRUE,TRUE,TRUE,rescued
PPM001926,PGS000756,PSS000966,0.723,903,1981,TRUE,TRUE,TRUE,rescued
PPM001928,PGS000757,PSS000966,0.736,903,1981,TRUE,TRUE,TRUE,rescued
PPM001989,PGS000770,PSS000992,0.661,50,127,TRUE,TRUE,TRUE,rescued
PPM001990,PGS000770,PSS000991,0.619,39,102,TRUE,TRUE,TRUE,rescued
PPM002022,PGS000779,PSS001005,0.612,33,79,TRUE,TRUE,TRUE,rescued
PPM002023,PGS000779,PSS001006,0.717,464,2232,TRUE,TRUE,TRUE,rescued
PPM002037,PGS000071,PSS001010,0.803,890,390998,TRUE,TRUE,TRUE,rescued
PPM002038,PGS000072,PSS001011,0.637,4760,211513,TRUE,TRUE,TRUE,rescued
PPM002039,PGS000073,PSS001012,0.745,282,211513,TRUE,TRUE,TRUE,rescued
PPM002040,PGS000074,PSS001013,0.704,2725,390998,TRUE,TRUE,TRUE,rescued
PPM002041,PGS000075,PSS001014,0.755,643,211513,TRUE,TRUE,TRUE,rescued
PPM002042,PGS000076,PSS001015,0.722,612,390998,TRUE,TRUE,TRUE,rescued
PPM002043,PGS000077,PSS001016,0.719,340,390998,TRUE,TRUE,TRUE,rescued
PPM002044,PGS000078,PSS001017,0.846,1541,390998,TRUE,TRUE,TRUE,rescued
PPM002045,PGS000079,PSS001018,0.652,1805,390998,TRUE,TRUE,TRUE,rescued
PPM002046,PGS000080,PSS001019,0.677,970,390998,TRUE,TRUE,TRUE,rescued
PPM002047,PGS000081,PSS001020,0.702,481,390998,TRUE,TRUE,TRUE,rescued
PPM002048,PGS000082,PSS001021,0.656,445,211513,TRUE,TRUE,TRUE,rescued
PPM002049,PGS000083,PSS001022,0.745,493,390998,TRUE,TRUE,TRUE,rescued
PPM002050,PGS000084,PSS001023,0.74,4740,179485,TRUE,TRUE,TRUE,rescued
PPM002051,PGS000086,PSS001024,0.783,52,179485,TRUE,TRUE,TRUE,rescued
PPM002052,PGS000087,PSS001025,0.679,191,390998,TRUE,TRUE,TRUE,rescued
PPM002053,PGS000782,PSS001010,0.804,890,390998,TRUE,TRUE,TRUE,rescued
PPM002054,PGS000783,PSS001011,0.637,4760,211513,TRUE,TRUE,TRUE,rescued
PPM002055,PGS000784,PSS001012,0.745,282,211513,TRUE,TRUE,TRUE,rescued
PPM002056,PGS000785,PSS001013,0.716,2725,390998,TRUE,TRUE,TRUE,rescued
PPM002057,PGS000786,PSS001014,0.754,643,211513,TRUE,TRUE,TRUE,rescued
PPM002058,PGS000787,PSS001015,0.722,612,390998,TRUE,TRUE,TRUE,rescued
PPM002059,PGS000788,PSS001016,0.738,340,390998,TRUE,TRUE,TRUE,rescued
PPM002060,PGS000789,PSS001017,0.846,1541,390998,TRUE,TRUE,TRUE,rescued
PPM002061,PGS000790,PSS001018,0.654,1805,390998,TRUE,TRUE,TRUE,rescued
PPM002062,PGS000791,PSS001019,0.677,970,390998,TRUE,TRUE,TRUE,rescued
PPM002063,PGS000792,PSS001020,0.702,481,390998,TRUE,TRUE,TRUE,rescued
PPM002064,PGS000793,PSS001021,0.66,445,211513,TRUE,TRUE,TRUE,rescued
PPM002065,PGS000794,PSS001022,0.745,493,390998,TRUE,TRUE,TRUE,rescued
PPM002066,PGS000795,PSS001023,0.769,4740,179485,TRUE,TRUE,TRUE,rescued
PPM002067,PGS000796,PSS001024,0.787,52,179485,TRUE,TRUE,TRUE,rescued
PPM002068,PGS000797,PSS001025,0.701,191,390998,TRUE,TRUE,TRUE,rescued
PPM002069,PGS000795,PSS001023,0.766,4740,179485,TRUE,TRUE,TRUE,rescued
PPM002070,PGS000783,PSS001011,0.626,4760,211513,TRUE,TRUE,TRUE,rescued
PPM002071,PGS000785,PSS001013,0.708,2725,390998,TRUE,TRUE,TRUE,rescued
PPM002072,PGS000789,PSS001017,0.71,1541,390998,TRUE,TRUE,TRUE,rescued
PPM002073,PGS000789,PSS001017,0.723,1541,390998,TRUE,TRUE,TRUE,rescued
PPM002074,PGS000789,PSS001017,0.808,1541,390998,TRUE,TRUE,TRUE,rescued
PPM002078,PGS000799,PSS001029,0.66,792,1066,TRUE,TRUE,TRUE,rescued
PPM002080,PGS000799,PSS001028,0.69,215,212,TRUE,TRUE,TRUE,rescued
PPM002082,PGS000800,PSS001029,0.65,792,1066,TRUE,TRUE,TRUE,rescued
PPM002084,PGS000800,PSS001028,0.7,215,212,TRUE,TRUE,TRUE,rescued
PPM002137,PGS000809,PSS001050,0.705,80,645,TRUE,TRUE,TRUE,rescued
PPM002138,PGS000809,PSS001051,0.762,14,642,TRUE,TRUE,TRUE,rescued
PPM002139,PGS000809,PSS001049,0.765,29,8341,TRUE,TRUE,TRUE,rescued
PPM002440,PGS000872,PSS001094,0.65,1699,865,TRUE,TRUE,TRUE,rescued
PPM002441,PGS000865,PSS001094,0.64,1699,865,TRUE,TRUE,TRUE,rescued
PPM002442,PGS000865,PSS001100,0.63,188,358126,TRUE,TRUE,TRUE,rescued
PPM002443,PGS000872,PSS001097,0.63,197,356746,TRUE,TRUE,TRUE,rescued
PPM002444,PGS000865,PSS001102,0.55,95,356725,TRUE,TRUE,TRUE,rescued
PPM002445,PGS000872,PSS001101,0.54,95,355355,TRUE,TRUE,TRUE,rescued
PPM002446,PGS000865,PSS001099,0.69,88,86116,TRUE,TRUE,TRUE,rescued
PPM002447,PGS000872,PSS001098,0.69,87,85803,TRUE,TRUE,TRUE,rescued
PPM002448,PGS000865,PSS001104,0.7,81,25051,TRUE,TRUE,TRUE,rescued
PPM002449,PGS000872,PSS001103,0.71,80,24959,TRUE,TRUE,TRUE,rescued
PPM002516,PGS000878,PSS001135,0.637,514,124,TRUE,TRUE,TRUE,rescued
PPM005183,PGS001354,PSS003603,0.83,65,2305,TRUE,TRUE,TRUE,rescued
PPM005184,PGS001354,PSS003602,0.73,121,6295,TRUE,TRUE,TRUE,rescued
PPM005185,PGS001354,PSS003603,0.82,65,2305,TRUE,TRUE,TRUE,rescued
PPM005186,PGS001354,PSS003602,0.72,121,6295,TRUE,TRUE,TRUE,rescued
PPM005187,PGS001355,PSS003605,0.6425,3467,172771,TRUE,TRUE,TRUE,rescued
PPM005188,PGS001356,PSS003604,0.6321,4025,174626,TRUE,TRUE,TRUE,rescued
PPM005189,PGS001357,PSS003606,0.6446,4659,173479,TRUE,TRUE,TRUE,rescued
PPM009233,PGS001774,PSS007662,0.55,235,464,TRUE,TRUE,TRUE,rescued
PPM009235,PGS001774,PSS007662,0.55,235,464,TRUE,TRUE,TRUE,rescued
PPM009247,PGS001777,PSS007667,0.665,917,473,TRUE,TRUE,TRUE,rescued
PPM009248,PGS001777,PSS007668,0.606,1162,604,TRUE,TRUE,TRUE,rescued
PPM009249,PGS001777,PSS007669,0.619,594,6304,TRUE,TRUE,TRUE,rescued
PPM009250,PGS001777,PSS007669,0.636,594,6304,TRUE,TRUE,TRUE,rescued
PPM009251,PGS001777,PSS007667,0.671,917,473,TRUE,TRUE,TRUE,rescued
PPM009252,PGS001777,PSS007667,0.65,917,473,TRUE,TRUE,TRUE,rescued
PPM009253,PGS001777,PSS007668,0.592,1162,604,TRUE,TRUE,TRUE,rescued
PPM009254,PGS001777,PSS007668,0.635,1162,604,TRUE,TRUE,TRUE,rescued
PPM009255,PGS001777,PSS007669,0.635,594,6304,TRUE,TRUE,TRUE,rescued
PPM009256,PGS001777,PSS007669,0.554,594,6304,TRUE,TRUE,TRUE,rescued
PPM009262,PGS001778,PSS007670,0.548,880,900,TRUE,TRUE,TRUE,rescued
PPM009263,PGS001778,PSS007670,0.578,880,900,TRUE,TRUE,TRUE,rescued
PPM009264,PGS001778,PSS007670,0.578,880,900,TRUE,TRUE,TRUE,rescued
PPM009288,PGS001784,PSS007707,0.868,1099,349667,TRUE,TRUE,TRUE,rescued
PPM009289,PGS001785,PSS007708,0.584,2985,356045,TRUE,TRUE,TRUE,rescued
PPM009290,PGS001786,PSS007709,0.574,2173,354938,TRUE,TRUE,TRUE,rescued
PPM009291,PGS001787,PSS007710,0.64,26473,325104,TRUE,TRUE,TRUE,rescued
PPM009292,PGS001788,PSS007711,0.715,12063,325104,TRUE,TRUE,TRUE,rescued
PPM009293,PGS001789,PSS007712,0.807,3783,355561,TRUE,TRUE,TRUE,rescued
PPM009294,PGS001790,PSS007713,0.75,6285,352619,TRUE,TRUE,TRUE,rescued
PPM009295,PGS001791,PSS007714,0.758,1052,346297,TRUE,TRUE,TRUE,rescued
PPM009296,PGS001792,PSS007715,0.777,1266,346129,TRUE,TRUE,TRUE,rescued
PPM009297,PGS001793,PSS007716,0.706,1650,348757,TRUE,TRUE,TRUE,rescued
PPM009298,PGS001794,PSS007717,0.676,365,358110,TRUE,TRUE,TRUE,rescued
PPM009299,PGS001795,PSS007718,0.66,1323,168952,TRUE,TRUE,TRUE,rescued
PPM009300,PGS001796,PSS007719,0.675,6549,349719,TRUE,TRUE,TRUE,rescued
PPM009302,PGS001787,PSS007720,0.689,134,1394,TRUE,TRUE,TRUE,rescued
PPM009307,PGS001787,PSS007706,0.679,142,2490,TRUE,TRUE,TRUE,rescued
PPM009311,PGS001782,PSS007693,0.659,1061,6066,TRUE,TRUE,TRUE,rescued
PPM009312,PGS001783,PSS007694,0.74,132,6995,TRUE,TRUE,TRUE,rescued
PPM009313,PGS001797,PSS007695,0.749,224,6903,TRUE,TRUE,TRUE,rescued
PPM009314,PGS001798,PSS007696,0.704,70,7057,TRUE,TRUE,TRUE,rescued
PPM009315,PGS001799,PSS007697,0.685,72,7055,TRUE,TRUE,TRUE,rescued
PPM012722,PGS002237,PSS009508,0.75,23364,117883,TRUE,TRUE,TRUE,rescued
PPM012724,PGS002237,PSS009509,0.88,1386,2878,TRUE,TRUE,TRUE,rescued
PPM012727,PGS002239,PSS009512,0.679,2961,25584,TRUE,TRUE,TRUE,rescued
PPM012791,PGS002248,PSS009558,0.61,144,874,TRUE,TRUE,TRUE,rescued
PPM012792,PGS002248,PSS009557,0.61,116,782,TRUE,TRUE,TRUE,rescued
PPM012907,PGS002266,PSS009607,0.66,46,72496,TRUE,TRUE,TRUE,rescued
PPM013010,PGS002291,PSS009646,0.64,1304,1589,TRUE,TRUE,TRUE,rescued
PPM013011,PGS002291,PSS009646,0.69,1304,1589,TRUE,TRUE,TRUE,rescued
PPM013012,PGS002292,PSS009647,0.705,102,142493,TRUE,TRUE,TRUE,rescued
PPM013013,PGS002292,PSS009647,0.756,102,142493,TRUE,TRUE,TRUE,rescued
PPM013014,PGS002292,PSS009647,0.755,102,142493,TRUE,TRUE,TRUE,rescued
PPM013019,PGS000030,PSS009650,0.63,475,1516,TRUE,TRUE,TRUE,rescued
PPM013064,PGS002308,PSS009677,0.793,8389,46404,TRUE,TRUE,TRUE,rescued
PPM013065,PGS002308,PSS009676,0.848,2688,9784,TRUE,TRUE,TRUE,rescued
PPM013066,PGS002308,PSS009678,0.851,868,1506,TRUE,TRUE,TRUE,rescued
PPM013067,PGS002308,PSS009671,0.631,1659,5086,TRUE,TRUE,TRUE,rescued
PPM013068,PGS002308,PSS009669,0.633,2776,2722,TRUE,TRUE,TRUE,rescued
PPM013069,PGS002308,PSS009670,0.757,402,1494,TRUE,TRUE,TRUE,rescued
PPM013070,PGS002308,PSS009675,0.631,300,355,TRUE,TRUE,TRUE,rescued
PPM013071,PGS002308,PSS009672,0.81,1248,23862,TRUE,TRUE,TRUE,rescued
PPM013072,PGS002308,PSS009673,0.781,2806,51272,TRUE,TRUE,TRUE,rescued
PPM013073,PGS002308,PSS009674,0.802,516,9862,TRUE,TRUE,TRUE,rescued
PPM014742,PGS002724,PSS009880,0.548,1691,1743,TRUE,TRUE,TRUE,rescued
PPM014743,PGS000039,PSS009880,0.547,1691,1743,TRUE,TRUE,TRUE,rescued
PPM014744,PGS002725,PSS009875,0.653,1470,40459,TRUE,TRUE,TRUE,rescued
PPM014745,PGS002724,PSS009875,0.643,1470,40459,TRUE,TRUE,TRUE,rescued
PPM014746,PGS000039,PSS009875,0.641,1470,40459,TRUE,TRUE,TRUE,rescued
PPM014747,PGS002725,PSS009881,0.765,1399,86283,TRUE,TRUE,TRUE,rescued
PPM014748,PGS000039,PSS009881,0.763,1399,86283,TRUE,TRUE,TRUE,rescued
PPM014905,PGS000013,PSS009922,0.714,120,1999,TRUE,TRUE,TRUE,rescued
PPM014916,PGS002745,PSS009930,0.66,894,2993,TRUE,TRUE,TRUE,rescued
PPM014917,PGS002745,PSS009929,0.66,1378,20326,TRUE,TRUE,TRUE,rescued
PPM015602,PGS002814,PSS009995,0.74,2953,21194,TRUE,TRUE,TRUE,rescued
PPM016255,PGS003380,PSS010074,0.696,11469,142892,TRUE,TRUE,TRUE,rescued
PPM016256,PGS003381,PSS010086,0.761,1587,142892,TRUE,TRUE,TRUE,rescued
PPM016257,PGS003382,PSS010085,0.682,4242,269544,TRUE,TRUE,TRUE,rescued
PPM016258,PGS003383,PSS010084,0.813,7100,126652,TRUE,TRUE,TRUE,rescued
PPM016259,PGS003384,PSS010078,0.758,262,269544,TRUE,TRUE,TRUE,rescued
PPM016260,PGS003385,PSS010083,0.717,367,142892,TRUE,TRUE,TRUE,rescued
PPM016261,PGS003386,PSS010076,0.724,4525,269544,TRUE,TRUE,TRUE,rescued
PPM016262,PGS003387,PSS010077,0.819,482,269544,TRUE,TRUE,TRUE,rescued
PPM016263,PGS003388,PSS010077,0.814,482,269544,TRUE,TRUE,TRUE,rescued
PPM016264,PGS003389,PSS010075,0.563,1482,142892,TRUE,TRUE,TRUE,rescued
PPM016265,PGS003390,PSS010079,0.672,689,269544,TRUE,TRUE,TRUE,rescued
PPM016266,PGS003391,PSS010081,0.729,1996,269544,TRUE,TRUE,TRUE,rescued
PPM016267,PGS003392,PSS010082,0.778,510,269544,TRUE,TRUE,TRUE,rescued
PPM016268,PGS003393,PSS010080,0.743,868,269544,TRUE,TRUE,TRUE,rescued
PPM016269,PGS002250,PSS010091,0.588,657,198101,TRUE,TRUE,TRUE,rescued
PPM016270,PGS002250,PSS010087,0.592,2053,16862,TRUE,TRUE,TRUE,rescued
PPM016271,PGS002250,PSS010088,0.624,717,11620,TRUE,TRUE,TRUE,rescued
PPM016272,PGS002250,PSS010090,0.538,2841,4828,TRUE,TRUE,TRUE,rescued
PPM016274,PGS003394,PSS010091,0.595,657,198101,TRUE,TRUE,TRUE,rescued
PPM016275,PGS003394,PSS010090,0.542,2841,4828,TRUE,TRUE,TRUE,rescued
PPM016277,PGS003395,PSS010093,0.646,727,1452,TRUE,TRUE,TRUE,rescued
PPM016278,PGS003395,PSS010092,0.608,1289,1284,TRUE,TRUE,TRUE,rescued
PPM017073,PGS003420,PSS010115,0.7886,185,1112,TRUE,TRUE,TRUE,rescued
PPM017074,PGS003421,PSS010115,0.7876,185,1112,TRUE,TRUE,TRUE,rescued
PPM017075,PGS003422,PSS010115,0.7876,185,1112,TRUE,TRUE,TRUE,rescued
PPM017076,PGS003423,PSS010115,0.7754,185,1112,TRUE,TRUE,TRUE,rescued
PPM017077,PGS003424,PSS010115,0.7605,185,1112,TRUE,TRUE,TRUE,rescued
PPM017182,PGS003443,PSS010157,0.7475,399,1085,TRUE,TRUE,TRUE,rescued
PPM017183,PGS003444,PSS010157,0.7475,399,1085,TRUE,TRUE,TRUE,rescued
PPM017184,PGS003445,PSS010157,0.7475,399,1085,TRUE,TRUE,TRUE,rescued
PPM017213,PGS003447,PSS010171,0.57,2967,256222,TRUE,TRUE,TRUE,rescued
PPM017215,PGS003447,PSS010170,0.52,1883,256222,TRUE,TRUE,TRUE,rescued
PPM017220,PGS003447,PSS010172,0.55,105,256222,TRUE,TRUE,TRUE,rescued
PPM017221,PGS003447,PSS010174,0.6,1158,256222,TRUE,TRUE,TRUE,rescued
PPM017222,PGS003447,PSS010175,0.56,736,256222,TRUE,TRUE,TRUE,rescued
PPM017223,PGS003447,PSS010173,0.55,968,256222,TRUE,TRUE,TRUE,rescued
PPM017412,PGS003486,PSS010186,0.567,88,3124,TRUE,TRUE,TRUE,rescued
PPM017413,PGS003458,PSS010186,0.583,88,3124,TRUE,TRUE,TRUE,rescued
PPM017414,PGS003459,PSS010186,0.585,88,3124,TRUE,TRUE,TRUE,rescued
PPM018508,PGS003749,PSS011001,0.797,198,119075,TRUE,TRUE,TRUE,rescued
PPM018509,PGS003750,PSS010999,0.64,953,119075,TRUE,TRUE,TRUE,rescued
PPM018510,PGS003751,PSS011003,0.596,3069,119075,TRUE,TRUE,TRUE,rescued
PPM018511,PGS003752,PSS011002,0.578,6114,119075,TRUE,TRUE,TRUE,rescued
PPM018512,PGS003749,PSS011000,0.792,953,6114,TRUE,TRUE,TRUE,rescued
PPM018513,PGS003751,PSS011000,0.527,953,6114,TRUE,TRUE,TRUE,rescued
PPM018514,PGS003749,PSS010998,0.686,1070,1424,TRUE,TRUE,TRUE,rescued
PPM018668,PGS002265,PSS011061,0.591,573,37641,TRUE,TRUE,TRUE,rescued
PPM018751,PGS003861,PSS011090,0.765,646,8810,TRUE,TRUE,TRUE,rescued
PPM019134,PGS003972,PSS011199,0.69,1130,5810,TRUE,TRUE,TRUE,rescued
PPM019135,PGS003972,PSS011197,0.66,1887,5437,TRUE,TRUE,TRUE,rescued
PPM019136,PGS003972,PSS011198,0.64,663,3105,TRUE,TRUE,TRUE,rescued
PPM020258,PGS004237,PSS011313,0.766,32475,370947,TRUE,TRUE,TRUE,rescued
PPM020259,PGS004237,PSS011313,0.772,32475,370947,TRUE,TRUE,TRUE,rescued
PPM020260,PGS004237,PSS011313,0.789,32475,370947,TRUE,TRUE,TRUE,rescued
PPM020323,PGS004255,PSS011342,0.66208527990545,1563,65865,TRUE,TRUE,TRUE,rescued
PPM020324,PGS004256,PSS011342,0.662123906579303,1563,65865,TRUE,TRUE,TRUE,rescued
PPM020325,PGS004257,PSS011342,0.660865982537907,1563,65865,TRUE,TRUE,TRUE,rescued
PPM020326,PGS004258,PSS011342,0.66389958735560906,1563,65865,TRUE,TRUE,TRUE,rescued
PPM020327,PGS004259,PSS011342,0.661284309464302,1563,65865,TRUE,TRUE,TRUE,rescued
PPM020328,PGS004260,PSS011347,0.669081275537859,1277,66151,TRUE,TRUE,TRUE,rescued
PPM020329,PGS004261,PSS011347,0.677223091560755,1277,66151,TRUE,TRUE,TRUE,rescued
PPM020330,PGS004262,PSS011347,0.669162702162148,1277,66151,TRUE,TRUE,TRUE,rescued
PPM020331,PGS004263,PSS011347,0.672053587040788,1277,66151,TRUE,TRUE,TRUE,rescued
PPM020332,PGS004264,PSS011347,0.668416710696548,1277,66151,TRUE,TRUE,TRUE,rescued
PPM020333,PGS004265,PSS011346,0.797531686126722,1848,65580,TRUE,TRUE,TRUE,rescued
PPM020334,PGS004266,PSS011346,0.798325365800205,1848,65580,TRUE,TRUE,TRUE,rescued
PPM020335,PGS004267,PSS011346,0.796919743111417,1848,65580,TRUE,TRUE,TRUE,rescued
PPM020336,PGS004268,PSS011346,0.797830047798597,1848,65580,TRUE,TRUE,TRUE,rescued
PPM020337,PGS004269,PSS011346,0.798699446266349,1848,65580,TRUE,TRUE,TRUE,rescued
PPM020338,PGS004270,PSS011341,0.57092809364795,763,66665,TRUE,TRUE,TRUE,rescued
PPM020339,PGS004271,PSS011341,0.57757519626064,763,66665,TRUE,TRUE,TRUE,rescued
PPM020340,PGS004272,PSS011341,0.58325712402312,763,66665,TRUE,TRUE,TRUE,rescued
PPM020341,PGS004273,PSS011341,0.588726225364022,763,66665,TRUE,TRUE,TRUE,rescued
PPM020342,PGS004274,PSS011341,0.587903583565998,763,66665,TRUE,TRUE,TRUE,rescued
PPM020343,PGS004275,PSS011344,0.613002023210023,9565,57863,TRUE,TRUE,TRUE,rescued
PPM020344,PGS004276,PSS011344,0.608934108369735,9565,57863,TRUE,TRUE,TRUE,rescued
