performance_id,pgs_id,sampleset_id,reported_trait,ancestry_eval,train_bucket,auc_single,n_cases,n_controls,n_total,ci_lo_logit,ci_hi_logit
PPM002058,PGS000787,PSS001015,Incident kidney cancer,European,Train: European-only,0.722,612,390998,391610,0.6984331911015736,0.7443991057864151
PPM002059,PGS000788,PSS001016,Incident Lymphocytic Leukemia,European,Train: Multi incl. EUR,0.738,340,390998,391338,0.7064166666748816,0.7673048455626856
PPM002060,PGS000789,PSS001017,Incident lung cancer,European,Train: European-only,0.846,1541,390998,392539,0.8333932308007823,0.8578155910852746
PPM002061,PGS000790,PSS001018,Incident melanoma,European,Train: European-only,0.654,1805,390998,392803,0.6400528788108177,0.6676872855189441
PPM002062,PGS000791,PSS001019,Incident non-hodgkin's lymphoma,European,Train: Multi incl. EUR,0.677,970,390998,391968,0.6580120154543364,0.6954217177904951
PPM002063,PGS000792,PSS001020,Incident oral cavity and pharyngeal cancer,European,Train: Multi incl. EUR,0.702,481,390998,391479,0.6750928355183892,0.7275780471940919
PPM002064,PGS000793,PSS001021,Incident ovarian cancer,European,Train: European-only,0.66,445,211513,211958,0.6317044216398302,0.6871981284153205
PPM002065,PGS000794,PSS001022,Incident pancreatic cancer,European,Train: Multi incl. EUR,0.745,493,390998,391491,0.7190489233504458,0.769323009488328
PPM002066,PGS000795,PSS001023,Incident prostate cancer,European,Train: Multi incl. EUR,0.769,4740,179485,184225,0.7609482835140821,0.7768600450202521
PPM002067,PGS000796,PSS001024,Incident testicular cancer,European,Train: European-only,0.787,52,179485,179537,0.7039861312782172,0.8516397051830517
PPM002068,PGS000797,PSS001025,Incident thyroid cancer,European,Train: European-only,0.701,191,390998,391189,0.6577255940669632,0.7409579716506263
PPM002069,PGS000795,PSS001023,Incident prostate cancer,European,Train: Multi incl. EUR,0.766,4740,179485,184225,0.7579219688848192,0.7738888889443427
PPM002070,PGS000783,PSS001011,Incident breast cancer,European,Train: European-only,0.626,4760,211513,216273,0.6173643279651517,0.634556142443324
PPM002071,PGS000785,PSS001013,Incident colorectal cancer,European,Train: Multi incl. EUR,0.708,2725,390998,393723,0.6968669935133123,0.7188890679625194
PPM002072,PGS000789,PSS001017,Incident lung cancer,European,Train: European-only,0.71,1541,390998,392539,0.6951709139458955,0.7243936948797315
PPM002073,PGS000789,PSS001017,Incident lung cancer in never smokers,European,Train: European-only,0.723,1541,390998,392539,0.7082801312801322,0.737252654047576
PPM002074,PGS000789,PSS001017,Incident lung cancer in smokers,European,Train: European-only,0.808,1541,390998,392539,0.7944993892712953,0.8208137063197649
PPM002078,PGS000799,PSS001029,"Asthma ever, at age 8 years",European,Train: Multi incl. EUR,0.66,792,1066,1858,0.6342995235117033,0.6847918664617703
PPM002080,PGS000799,PSS001028,"Asthma ever, at age 8 years",European,Train: Multi incl. EUR,0.69,215,212,427,0.6380963314171096,0.73752175934469
PPM002082,PGS000800,PSS001029,"Asthma ever, at age 8 years",European,Train: European-only,0.65,792,1066,1858,0.6241447100582995,0.6750028215455417
PPM002084,PGS000800,PSS001028,"Asthma ever, at age 8 years",European,Train: European-only,0.7,215,212,427,0.6485295847475105,0.7468748565279303
PPM002137,PGS000809,PSS001050,Multiple sclerosis,European,Train: European-only,0.705,80,645,725,0.6345192273807106,0.7668824996590367
PPM002138,PGS000809,PSS001051,Multiple sclerosis,European,Train: European-only,0.762,14,642,656,0.586692726363702,0.8783654699111502
PPM002139,PGS000809,PSS001049,Multiple Sclerosis,European,Train: European-only,0.765,29,8341,8370,0.6490114226101108,0.8514329019652132
PPM002440,PGS000872,PSS001094,Hepatocellular carcinoma,European,Train: Multi incl. EUR,0.65,1699,865,2564,0.6281466234708459,0.6712412537389453
PPM002441,PGS000865,PSS001094,Hepatocellular carcinoma,European,Train: Multi incl. EUR,0.64,1699,865,2564,0.6179445861620808,0.661479684106236
PPM002442,PGS000865,PSS001100,Hepatocellular carcinoma,European,Train: Multi incl. EUR,0.63,188,358126,358314,0.5861599245397839,0.6717962684817076
PPM002443,PGS000872,PSS001097,Hepatocellular carcinoma,European,Train: Multi incl. EUR,0.63,197,356746,356943,0.5871911897644072,0.6708578871969534
PPM002444,PGS000865,PSS001102,Hepatocellular carcinoma in individuals with no cirrhosis,European,Train: Multi incl. EUR,0.55,95,356725,356820,0.489966688492237,0.6086116345324636
PPM002445,PGS000872,PSS001101,Hepatocellular carcinoma in individuals with no cirrhosis,European,Train: Multi incl. EUR,0.54,95,355355,355450,0.48035818007801095,0.5985177917108928
PPM002446,PGS000865,PSS001099,Hepatocellular carcinoma in individuals with a body mass index ≥30,European,Train: Multi incl. EUR,0.69,88,86116,86204,0.6251275232037591,0.7481686570454641
PPM002447,PGS000872,PSS001098,Hepatocellular carcinoma in individuals with a body mass index ≥30,European,Train: Multi incl. EUR,0.69,87,85803,85890,0.6247398214348227,0.7484801776420014
PPM002448,PGS000865,PSS001104,Hepatocellular carcinoma in individuals with type 2 diabetes,European,Train: Multi incl. EUR,0.7,81,25051,25132,0.6322930112536755,0.7599725830245506
PPM002449,PGS000872,PSS001103,Hepatocellular carcinoma in individuals with type 2 diabetes,European,Train: Multi incl. EUR,0.71,80,24959,25039,0.641970522245434,0.7697395285125743
PPM002516,PGS000878,PSS001135,Prostate cancer,East Asian,Train: East Asian-only,0.637,514,124,638,0.5847930552486783,0.6861654122031471
PPM005183,PGS001354,PSS003603,Subsequent thyroid cancer in childhood cancer survivors aged 40,European,Train: European-only,0.83,65,2305,2370,0.7590937228531666,0.8832462724224072
PPM005184,PGS001354,PSS003602,Subsequent thyroid cancer in childhood cancer survivors aged 40,European,Train: European-only,0.73,121,6295,6416,0.6753832165691043,0.7784420294823081
PPM005185,PGS001354,PSS003603,Subsequent thyroid cancer in childhood cancer survivors aged 50,European,Train: European-only,0.82,65,2305,2370,0.7482875032811802,0.8747027568041258
PPM005186,PGS001354,PSS003602,Subsequent thyroid cancer in childhood cancer survivors aged 50,European,Train: European-only,0.72,121,6295,6416,0.6651660593238548,0.7689729880676553
PPM005187,PGS001355,PSS003605,Coronary artery disease,European,Train: European-only,0.6425,3467,172771,176238,0.6323935647684193,0.6524812712024467
PPM005188,PGS001356,PSS003604,Atrial fibrillation,European,Train: European-only,0.6321,4025,174626,178651,0.6227059545649745,0.6413948453465323
