pgs_id,ancestry_display,train_bucket,n_eval,cases_total,ctrls_total,auc_mean_w,auc_mean_unw,n_records,n_label
PGS000943,European,Train: European-only,92330,939,91391,0.6060442882940617,0.615665,2,92K
PGS000943,East Asian,Train: European-only,1704,14,1690,0.8085,0.8085,1,2K
PGS000943,South Asian,Train: European-only,7831,66,7765,0.64056,0.64056,1,8K
PGS000944,European,Train: European-only,92330,3387,88943,0.5693375606836328,0.56779,2,92K
PGS000944,East Asian,Train: European-only,1704,66,1638,0.59588,0.59588,1,2K
PGS000944,South Asian,Train: European-only,7831,243,7588,0.56106,0.56106,1,8K
PGS000947,European,Train: European-only,92070,9986,82084,0.592918107340057,0.589025,2,92K
PGS000947,East Asian,Train: European-only,1639,302,1337,0.63149,0.63149,1,2K
PGS000947,South Asian,Train: European-only,7528,724,6804,0.57052,0.57052,1,8K
PGS000948,European,Train: European-only,92330,4234,88096,0.8103450929596594,0.8151550000000001,2,92K
PGS000948,East Asian,Train: European-only,1704,20,1684,0.9389,0.9389,1,2K
PGS000948,South Asian,Train: European-only,7831,284,7547,0.79999,0.79999,1,8K
PGS000949,European,Train: European-only,92330,4947,87383,0.8070884431895498,0.809875,2,92K
PGS000949,East Asian,Train: European-only,1704,23,1681,0.91597,0.91597,1,2K
PGS000949,South Asian,Train: European-only,7831,327,7504,0.80083,0.80083,1,8K
PGS000950,European,Train: European-only,92330,3678,88652,0.6861843223216908,0.686985,2,92K
PGS000950,East Asian,Train: European-only,1704,11,1693,0.71374,0.71374,1,2K
PGS000950,South Asian,Train: European-only,7831,32,7799,0.69762,0.69762,1,8K
PGS000957,European,Train: European-only,92330,22089,70241,0.7294956760094483,0.73538,2,92K
PGS000957,East Asian,Train: European-only,1704,298,1406,0.7518999999999999,0.7519,1,2K
PGS000957,South Asian,Train: European-only,7831,2513,5318,0.73072,0.73072,1,8K
PGS000958,European,Train: European-only,92330,19982,72348,0.7291924301308912,0.7347349999999999,2,92K
PGS000958,East Asian,Train: European-only,1704,259,1445,0.74478,0.74478,1,2K
PGS000958,South Asian,Train: European-only,7831,2406,5425,0.73161,0.73161,1,8K
PGS000959,European,Train: European-only,92330,902,91428,0.6997164378137146,0.701395,2,92K
PGS000959,East Asian,Train: European-only,1704,13,1691,0.765,0.765,1,2K
PGS000959,South Asian,Train: European-only,7831,75,7756,0.72343,0.72343,1,8K
PGS000960,European,Train: European-only,92330,934,91396,0.7208503156288826,0.7228399999999999,2,92K
PGS000960,East Asian,Train: European-only,1704,9,1695,0.79135,0.79135,1,2K
PGS000960,South Asian,Train: European-only,7831,63,7768,0.7365900000000001,0.73659,1,8K
PGS000961,European,Train: European-only,92330,3022,89308,0.6484193861688057,0.6557,2,92K
PGS000961,East Asian,Train: European-only,1704,15,1689,0.66631,0.66631,1,2K
PGS000961,South Asian,Train: European-only,7831,145,7686,0.63064,0.63064,1,8K
PGS000962,European,Train: European-only,92330,6752,85578,0.7657520494638083,0.7703599999999999,2,92K
PGS000962,East Asian,Train: European-only,1704,48,1656,0.7684300000000001,0.76843,1,2K
PGS000962,South Asian,Train: European-only,7831,1095,6736,0.76819,0.76819,1,8K
PGS000963,European,Train: European-only,92330,2663,89667,0.6143310231136336,0.6140650000000001,2,92K
PGS000963,East Asian,Train: European-only,1704,29,1675,0.64299,0.64299,1,2K
PGS000963,South Asian,Train: European-only,7831,180,7651,0.64204,0.64204,1,8K
PGS000964,European,Train: European-only,92330,1670,90660,0.5500578753783695,0.55454,2,92K
PGS000964,East Asian,Train: European-only,1704,11,1693,0.8100700000000001,0.81007,1,2K
PGS000964,South Asian,Train: European-only,7831,110,7721,0.61724,0.61724,1,8K
PGS000965,European,Train: European-only,92330,5880,86450,0.7672951138860299,0.76645,2,92K
PGS000965,East Asian,Train: European-only,1704,53,1651,0.68903,0.68903,1,2K
PGS000965,South Asian,Train: European-only,7831,624,7207,0.74628,0.74628,1,8K
PGS000967,European,Train: European-only,92330,3562,88768,0.6955831287997439,0.7020150000000001,2,92K
PGS000967,East Asian,Train: European-only,1704,16,1688,0.67991,0.67991,1,2K
PGS000967,South Asian,Train: European-only,7831,74,7757,0.72467,0.72467,1,8K
PGS000972,European,Train: European-only,89704,6560,83144,0.6150892464041533,0.61704,2,90K
PGS000972,East Asian,Train: European-only,1644,142,1502,0.62489,0.62489,1,2K
PGS000972,South Asian,Train: European-only,7468,982,6486,0.60772,0.60772,1,7K
PGS000976,European,Train: European-only,1746,1017,729,0.6271543159545869,0.63211,2,2K
PGS000976,East Asian,Train: European-only,41,32,9,0.80208,0.80208,1,41
PGS000976,South Asian,Train: European-only,164,117,47,0.70304,0.70304,1,164
PGS000977,European,Train: European-only,1746,1190,556,0.59205784297897035,0.607955,2,2K
PGS000977,East Asian,Train: European-only,41,28,13,0.84066,0.84066,1,41
PGS000977,South Asian,Train: European-only,164,115,49,0.65892,0.65892,1,164
PGS000980,European,Train: European-only,92255,20609,71646,0.6356664461679754,0.63897,2,92K
PGS000980,East Asian,Train: European-only,1652,187,1465,0.65218,0.65218,1,2K
PGS000980,South Asian,Train: European-only,7396,460,6936,0.63507,0.63507,1,7K
PGS000982,European,Train: European-only,92255,8759,83496,0.695100280852129,0.6959850000000001,2,92K
PGS000982,East Asian,Train: European-only,1652,469,1183,0.65071,0.65071,1,2K
PGS000982,South Asian,Train: European-only,7396,3696,3700,0.61231,0.61231,1,7K
PGS000990,European,Train: European-only,92330,1204,91126,0.637230079847024,0.6392,2,92K
PGS000990,East Asian,Train: European-only,1704,12,1692,0.75788,0.75788,1,2K
PGS000990,South Asian,Train: European-only,7831,76,7755,0.71433,0.71433,1,8K
PGS000991,European,Train: European-only,92071,18632,73439,0.6154882224618758,0.61703,2,92K
PGS000991,East Asian,Train: European-only,1653,190,1463,0.64533,0.64533,1,2K
PGS000991,South Asian,Train: European-only,7539,1046,6493,0.6355,0.6355,1,8K
PGS000995,European,Train: European-only,92070,15750,76320,0.7348063289843263,0.742715,2,92K
PGS000995,East Asian,Train: European-only,1639,340,1299,0.72417,0.72417,1,2K
PGS000995,South Asian,Train: European-only,7528,812,6716,0.72384,0.72384,1,8K
PGS000996,European,Train: European-only,92330,1184,91146,0.6811687647282221,0.68798,2,92K
PGS000996,East Asian,Train: European-only,1704,2,1702,0.91481,0.91481,1,2K
PGS000996,South Asian,Train: European-only,7831,14,7817,0.80455,0.80455,1,8K
PGS000997,European,Train: European-only,92330,8746,83584,0.6895526651618789,0.698015,2,92K
PGS000997,East Asian,Train: European-only,1704,24,1680,0.75551,0.75551,1,2K
PGS000997,South Asian,Train: European-only,7831,330,7501,0.73365,0.73365,1,8K
PGS001006,European,Train: European-only,90867,41575,49292,0.582333252269831,0.5804400000000001,2,91K
PGS001006,East Asian,Train: European-only,1602,664,938,0.59942,0.59942,1,2K
PGS001006,South Asian,Train: European-only,7281,3505,3776,0.60517,0.60517,1,7K
PGS001011,European,Train: European-only,92330,3139,89191,0.5600874058458399,0.560135,2,92K
PGS001011,East Asian,Train: European-only,1704,32,1672,0.65545,0.65545,1,2K
PGS001011,South Asian,Train: European-only,7831,307,7524,0.5793,0.5793,1,8K
PGS001013,European,Train: European-only,31963,872,31091,0.7096578437742976,0.7156750000000001,2,32K
PGS001013,East Asian,Train: European-only,711,18,693,0.90123,0.90123,1,711
PGS001013,South Asian,Train: European-only,3327,63,3264,0.76624,0.76624,1,3K
PGS001014,European,Train: European-only,92330,519,91811,0.6359554549156569,0.638825,2,92K
PGS001014,East Asian,Train: European-only,1704,5,1699,0.8635699999999998,0.86357,1,2K
PGS001014,South Asian,Train: European-only,7831,89,7742,0.73516,0.73516,1,8K
PGS001015,European,Train: European-only,92330,1457,90873,0.8799879591625406,0.8871,2,92K
PGS001015,East Asian,Train: European-only,1704,14,1690,0.9442099999999999,0.94421,1,2K
PGS001015,South Asian,Train: European-only,7831,102,7729,0.89677,0.89677,1,8K
PGS001016,European,Train: European-only,89773,50275,39498,0.6169827823189977,0.6142700000000001,2,90K
PGS001016,East Asian,Train: European-only,1534,681,853,0.61857,0.61857,1,2K
PGS001016,South Asian,Train: European-only,7159,4355,2804,0.60244,0.60244,1,7K
PGS001017,European,Train: European-only,88953,19188,69765,0.5612063657110306,0.562395,2,89K
PGS001017,East Asian,Train: European-only,1473,294,1179,0.56758,0.56758,1,1K
PGS001017,South Asian,Train: European-only,6958,1471,5487,0.58706,0.58706,1,7K
PGS001018,European,Train: European-only,92026,65720,26306,0.5529782934422979,0.562445,2,92K
PGS001018,East Asian,Train: European-only,1633,1018,615,0.57527,0.57527,1,2K
PGS001018,South Asian,Train: European-only,7477,4862,2615,0.55963,0.55963,1,7K
PGS001019,European,Train: European-only,56904,29314,27590,0.5601165336844673,0.5648599999999999,2,57K
PGS001019,East Asian,Train: European-only,1085,456,629,0.58246,0.58246,1,1K
PGS001019,South Asian,Train: European-only,4460,1790,2670,0.5442,0.5442,1,4K
PGS001020,European,Train: European-only,35922,7636,28286,0.6340945402834294,0.63364,2,36K
PGS001020,East Asian,Train: European-only,779,135,644,0.65214,0.65214,1,779
PGS001020,South Asian,Train: European-only,3118,405,2713,0.60534,0.60534,1,3K
PGS001021,European,Train: European-only,89968,51833,38135,0.6140924855660609,0.6121,2,90K
PGS001021,East Asian,Train: European-only,1544,746,798,0.58907,0.58907,1,2K
PGS001021,South Asian,Train: European-only,7170,3970,3200,0.59978,0.59978,1,7K
PGS001022,European,Train: European-only,88757,43355,45402,0.5942652482456147,0.590155,2,89K
PGS001022,East Asian,Train: European-only,1530,605,925,0.56492,0.56492,1,2K
PGS001022,South Asian,Train: European-only,6993,3557,3436,0.56486,0.56486,1,7K
PGS001023,European,Train: European-only,92330,838,91492,0.6672253767811877,0.67905,2,92K
PGS001023,East Asian,Train: European-only,1704,8,1696,0.72332,0.72332,1,2K
PGS001023,South Asian,Train: European-only,7831,65,7766,0.60481,0.60481,1,8K
PGS001024,European,Train: European-only,92330,6051,86279,0.5686372383143103,0.57367,2,92K
PGS001024,East Asian,Train: European-only,1704,164,1540,0.59643,0.59643,1,2K
PGS001024,South Asian,Train: European-only,7831,609,7222,0.59907,0.59907,1,8K
PGS001025,European,Train: European-only,92330,916,91414,0.7357851691230395,0.745685,2,92K
PGS001025,East Asian,Train: European-only,1704,10,1694,0.85035,0.85035,1,2K
PGS001025,South Asian,Train: European-only,7831,65,7766,0.7872,0.7872,1,8K
PGS001026,European,Train: European-only,92330,1839,90491,0.6167171080899759,0.617065,2,92K
PGS001026,East Asian,Train: European-only,1704,12,1692,0.7593100000000002,0.75931,1,2K
PGS001026,South Asian,Train: European-only,7831,82,7749,0.60309,0.60309,1,8K
PGS001027,European,Train: European-only,92330,3895,88435,0.5704578867621511,0.56977,2,92K
PGS001027,East Asian,Train: European-only,1704,36,1668,0.64127,0.64127,1,2K
PGS001027,South Asian,Train: European-only,7831,348,7483,0.58042,0.58042,1,8K
PGS001028,European,Train: European-only,31772,631,31141,0.6965965271921021,0.69527,2,32K
PGS001028,East Asian,Train: European-only,706,14,692,0.83123,0.83123,1,706
PGS001028,South Asian,Train: European-only,3533,269,3264,0.7302,0.7302,1,4K
PGS001029,European,Train: European-only,92330,457,91873,0.6084801169131426,0.61772,2,92K
PGS001029,East Asian,Train: European-only,1704,3,1701,0.48912,0.48912,1,2K
PGS001029,South Asian,Train: European-only,7831,61,7770,0.62122,0.62122,1,8K
PGS001030,European,Train: European-only,92330,269,92061,0.771140568850553,0.781485,2,92K
PGS001030,East Asian,Train: European-only,1704,3,1701,0.7883600000000001,0.78836,1,2K
PGS001030,South Asian,Train: European-only,7831,37,7794,0.80812,0.80812,1,8K
PGS001031,European,Train: European-only,92330,4245,88085,0.6131691218359429,0.611015,2,92K
PGS001031,East Asian,Train: European-only,1704,49,1655,0.61535,0.61535,1,2K
PGS001031,South Asian,Train: European-only,7831,456,7375,0.61823,0.61823,1,8K
PGS001032,European,Train: European-only,92330,1554,90776,0.7776165445617045,0.773935,2,92K
PGS001032,East Asian,Train: European-only,1704,28,1676,0.78861,0.78861,1,2K
PGS001032,South Asian,Train: European-only,7831,88,7743,0.84627,0.84627,1,8K
PGS001033,European,Train: European-only,92330,391,91939,0.653460406820405,0.651825,2,92K
PGS001033,East Asian,Train: European-only,1704,3,1701,0.8546,0.8546,1,2K
PGS001033,South Asian,Train: European-only,7831,18,7813,0.66881,0.66881,1,8K
PGS001040,European,Train: European-only,92330,5583,86747,0.7135167696930216,0.7199899999999999,2,92K
PGS001040,East Asian,Train: European-only,1704,6,1698,0.86455,0.86455,1,2K
PGS001040,South Asian,Train: European-only,7831,18,7813,0.76366,0.76366,1,8K
PGS001041,European,Train: European-only,92330,6286,86044,0.6995904849388621,0.705085,2,92K
PGS001041,East Asian,Train: European-only,1704,9,1695,0.83061,0.83061,1,2K
PGS001041,South Asian,Train: European-only,7831,20,7811,0.76232,0.76232,1,8K
PGS001042,European,Train: European-only,92330,1269,91061,0.7075810038740046,0.702745,2,92K
PGS001042,East Asian,Train: European-only,1704,51,1653,0.64568,0.64568,1,2K
PGS001042,South Asian,Train: European-only,7831,107,7724,0.68899,0.68899,1,8K
PGS001043,European,Train: European-only,92330,1091,91239,0.709367229572317,0.705475,2,92K
PGS001043,East Asian,Train: European-only,1704,44,1660,0.62359,0.62359,1,2K
PGS001043,South Asian,Train: European-only,7831,92,7739,0.68797,0.68797,1,8K
PGS001044,European,Train: European-only,92137,18160,73977,0.6268421745034193,0.630625,2,92K
PGS001044,East Asian,Train: European-only,1651,334,1317,0.68295,0.68295,1,2K
PGS001044,South Asian,Train: European-only,7537,926,6611,0.68783,0.68783,1,8K
PGS001045,European,Train: European-only,65444,2407,63037,0.6081569685288898,0.61265,2,65K
PGS001045,East Asian,Train: European-only,1075,34,1041,0.66251,0.66251,1,1K
PGS001045,South Asian,Train: European-only,5037,311,4726,0.68137,0.68137,1,5K
PGS001046,European,Train: European-only,84860,50189,34671,0.6111378467085746,0.606465,2,85K
PGS001046,East Asian,Train: European-only,1577,495,1082,0.67494,0.67494,1,2K
