trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:other_abnormal_blood_chemistry,Other abnormal blood chemistry,NA,NA,Other abnormal blood chemistry,6
custom:overweight_obesity_and_other_hyperalimentation,Overweight obesity and other hyperalimentation,NA,NA,Overweight obesity and other hyperalimentation,6
custom:polyneuropathy_in_diabetes,Polyneuropathy in diabetes,NA,NA,Polyneuropathy in diabetes,6
custom:psoriasis_and_related_disorders,Psoriasis and related disorders,NA,NA,Psoriasis and related disorders,6
custom:psoriasis_vulgaris,Psoriasis vulgaris,NA,NA,Psoriasis vulgaris,6
custom:sicca_syndrome,Sicca syndrome,NA,NA,Sicca syndrome,6
custom:thyroiditis,Thyroiditis,NA,NA,Thyroiditis,6
custom:thyrotoxicosis_with_or_without_goiter,Thyrotoxicosis with or without goiter,NA,NA,Thyrotoxicosis with or without goiter,6
custom:type_2_diabetes_t2d_,Type 2 diabetes (T2D),NA,NA,Type 2 diabetes (T2D),6
custom:type_2_diabetes_with_ketoacidosis,Type 2 diabetes with ketoacidosis,NA,NA,Type 2 diabetes with ketoacidosis,6
custom:type_2_diabetes_with_neurological_manifestations,Type 2 diabetes with neurological manifestations,NA,NA,Type 2 diabetes with neurological manifestations,6
custom:type_2_diabetes_with_ophthalmic_manifestations,Type 2 diabetes with ophthalmic manifestations,NA,NA,Type 2 diabetes with ophthalmic manifestations,6
custom:type_2_diabetes_with_renal_manifestations,Type 2 diabetes with renal manifestations,NA,NA,Type 2 diabetes with renal manifestations,6
custom:ulcerative_colitis,Ulcerative colitis,NA,NA,Ulcerative colitis,6
custom:urinary_calculus,Urinary calculus,NA,NA,Urinary calculus,6
custom:viral_hepatitis_b,Viral hepatitis B,NA,NA,Viral hepatitis B,6
custom:abdominal_aortic_aneurysm,Abdominal aortic aneurysm,NA,NA,Abdominal aortic aneurysm,5
custom:abdominal_hernia,Abdominal hernia,NA,NA,Abdominal hernia,5
custom:abnormal_findings_on_examination_of_urine,Abnormal findings on examination of urine,NA,NA,Abnormal findings on examination of urine,5
custom:abnormal_glucose,Abnormal glucose,NA,NA,Abnormal glucose,5
custom:abnormal_results_of_function_study_of_liver,Abnormal results of function study of liver,NA,NA,Abnormal results of function study of liver,5
custom:abnormal_tumor_markers,Abnormal tumor markers,NA,NA,Abnormal tumor markers,5
custom:acne,Acne,NA,NA,Acne,5
custom:acute_but_ill_defined_cerebrovascular_disease,Acute but ill defined cerebrovascular disease,NA,NA,Acute but ill defined cerebrovascular disease,5
custom:acute_upper_respiratory_infections_of_multiple_or_unspecified_sites,Acute upper respiratory infections of multiple or unspecified sites,NA,NA,Acute upper respiratory infections of multiple or unspecified sites,5
custom:alcohol_related_disorders,Alcohol related disorders,NA,NA,Alcohol related disorders,5
custom:alcoholism,Alcoholism,NA,NA,Alcoholism,5
custom:allergic_rhinitis,Allergic rhinitis,NA,NA,Allergic rhinitis,5
custom:alzheimers_disease,Alzheimers disease,NA,NA,Alzheimers disease,5
custom:anal_and_rectal_conditions,Anal and rectal conditions,NA,NA,Anal and rectal conditions,5
custom:angina,Angina,NA,NA,Angina,5
custom:arrhythmia_cardiac_nos,Arrhythmia cardiac NOS,NA,NA,Arrhythmia cardiac NOS,5
custom:arthropathy_nos,Arthropathy NOS,NA,NA,Arthropathy NOS,5
custom:ascvd,ASCVD,NA,NA,ASCVD,5
custom:atopic_contact_dermatitis_due_to_other_or_unspecified,Atopic contact dermatitis due to other or unspecified,NA,NA,Atopic contact dermatitis due to other or unspecified,5
custom:atrial_fibrillation_and_flutter,Atrial fibrillation and flutter,NA,NA,Atrial fibrillation and flutter,5
custom:benign_neoplasm_of_brain_and_other_parts_of_nervous_system,Benign neoplasm of brain and other parts of nervous system,NA,NA,Benign neoplasm of brain and other parts of nervous system,5
custom:benign_neoplasm_of_colon,Benign neoplasm of colon,NA,NA,Benign neoplasm of colon,5
custom:benign_neoplasm_of_other_parts_of_digestive_system,Benign neoplasm of other parts of digestive system,NA,NA,Benign neoplasm of other parts of digestive system,5
custom:benign_neoplasm_of_thyroid_glands,Benign neoplasm of thyroid glands,NA,NA,Benign neoplasm of thyroid glands,5
custom:benign_neoplasm_of_uterus,Benign neoplasm of uterus,NA,NA,Benign neoplasm of uterus,5
custom:breast_cancer_female,Breast cancer female,NA,NA,Breast cancer female,5
custom:bronchitis,Bronchitis,NA,NA,Bronchitis,5
custom:cancer_of_bronchus_lung,Cancer of bronchus lung,NA,NA,Cancer of bronchus lung,5
custom:cancer_of_larynx_pharynx_nasal_cavities,Cancer of larynx pharynx nasal cavities,NA,NA,Cancer of larynx pharynx nasal cavities,5
custom:cancer_of_liver_and_intrahepatic_bile_duct,Cancer of liver and intrahepatic bile duct,NA,NA,Cancer of liver and intrahepatic bile duct,5
custom:cancer_of_nasopharynx,Cancer of nasopharynx,NA,NA,Cancer of nasopharynx,5
custom:cancer_of_stomach,Cancer of stomach,NA,NA,Cancer of stomach,5
custom:cancer_suspected_or_other,Cancer suspected or other,NA,NA,Cancer suspected or other,5
custom:carbuncle_and_furuncle,Carbuncle and furuncle,NA,NA,Carbuncle and furuncle,5
custom:cardiac_dysrhythmias,Cardiac dysrhythmias,NA,NA,Cardiac dysrhythmias,5
custom:cellulitis_and_abscess_of_fingers_toes,Cellulitis and abscess of fingers toes,NA,NA,Cellulitis and abscess of fingers toes,5
custom:central_origin_vertigo,Central origin vertigo,NA,NA,Central origin vertigo,5
custom:cerebral_artery_occlusion_with_cerebral_infarction,Cerebral artery occlusion with cerebral infarction,NA,NA,Cerebral artery occlusion with cerebral infarction,5
custom:cerebral_ischemia,Cerebral ischemia,NA,NA,Cerebral ischemia,5
custom:cerebrovascular_disease,Cerebrovascular disease,NA,NA,Cerebrovascular disease,5
custom:cervical_cancer_and_dysplasia,Cervical cancer and dysplasia,NA,NA,Cervical cancer and dysplasia,5
custom:cervical_intraepithelial_neoplasia_cin_cervical_dysplasia,Cervical intraepithelial neoplasia CIN Cervical dysplasia,NA,NA,Cervical intraepithelial neoplasia CIN Cervical dysplasia,5
custom:cholelithiasis,Cholelithiasis,NA,NA,Cholelithiasis,5
