trait_id,trait_label,efo_id,efo_label,reported_trait,n_rows
custom:tte_psoriatic_and_enteropathic_arthropathies,TTE psoriatic and enteropathic arthropathies,NA,NA,TTE psoriatic and enteropathic arthropathies,4
custom:tte_retinal_detachments_and_breaks,TTE retinal detachments and breaks,NA,NA,TTE retinal detachments and breaks,4
custom:tte_retinal_disorders_in_diseases_classified_elsewhere,TTE retinal disorders in diseases classified elsewhere,NA,NA,TTE retinal disorders in diseases classified elsewhere,4
custom:tte_seborrhoeic_keratosis,TTE seborrhoeic keratosis,NA,NA,TTE seborrhoeic keratosis,4
custom:tte_skin_changes_due_to_chronic_exposure_to_nonionising_radiation,TTE skin changes due to chronic exposure to nonionising radiation,NA,NA,TTE skin changes due to chronic exposure to nonionising radiation,4
custom:tte_thyrotoxicosis_hyperthyroidism_,TTE thyrotoxicosis [hyperthyroidism],NA,NA,TTE thyrotoxicosis [hyperthyroidism],4
custom:tte_ulcerative_colitis,TTE ulcerative colitis,NA,NA,TTE ulcerative colitis,4
custom:tte_unspecified_acute_lower_respiratory_infection,TTE unspecified acute lower respiratory infection,NA,NA,TTE unspecified acute lower respiratory infection,4
custom:tte_unspecified_diabetes_mellitus,TTE unspecified diabetes mellitus,NA,NA,TTE unspecified diabetes mellitus,4
custom:tte_varicose_veins_of_lower_extremities,TTE varicose veins of lower extremities,NA,NA,TTE varicose veins of lower extremities,4
custom:tte_vasomotor_and_allergic_rhinitis,TTE vasomotor and allergic rhinitis,NA,NA,TTE vasomotor and allergic rhinitis,4
custom:tte_viral_warts,TTE viral warts,NA,NA,TTE viral warts,4
custom:tte_vitiligo,TTE vitiligo,NA,NA,TTE vitiligo,4
custom:tte_zoster_herpes_zoster_,TTE zoster [herpes zoster],NA,NA,TTE zoster [herpes zoster],4
custom:types_of_physical_activity_in_last_4_weeks_other_exercises_,Types of physical activity in last 4 weeks (other exercises),NA,NA,Types of physical activity in last 4 weeks (other exercises),4
custom:uacr_30_mg_g,UACR > 30 mg/g,NA,NA,UACR > 30 mg/g,4
custom:use_of_sun_uv_protection_always_,Use of sun/uv protection (Always),NA,NA,Use of sun/uv protection (Always),4
custom:use_of_sun_uv_protection_never_rarely_,Use of sun/uv protection (Never/rarely),NA,NA,Use of sun/uv protection (Never/rarely),4
custom:use_of_sun_uv_protection_sometimes_,Use of sun/uv protection (Sometimes),NA,NA,Use of sun/uv protection (Sometimes),4
custom:uterine_fibroids,Uterine fibroids,NA,NA,Uterine fibroids,4
custom:varicose_veins,Varicose veins,NA,NA,Varicose veins,4
custom:vascular_heart_problems_diagnosed_by_doctor_angina,Vascular/heart problems diagnosed by doctor Angina,NA,NA,Vascular/heart problems diagnosed by doctor Angina,4
custom:vascular_heart_problems_diagnosed_by_doctor_heart_attack,Vascular/heart problems diagnosed by doctor Heart attack,NA,NA,Vascular/heart problems diagnosed by doctor Heart attack,4
custom:vascular_heart_problems_diagnosed_by_doctor_high_bp,Vascular/heart problems diagnosed by doctor High BP,NA,NA,Vascular/heart problems diagnosed by doctor High BP,4
custom:vitamin_b9_vs_no_supplement,Vitamin B9 vs no supplement,NA,NA,Vitamin B9 vs no supplement,4
custom:weight_change_compared_with_1_year_ago,Weight change compared with 1 year ago,NA,NA,Weight change compared with 1 year ago,4
custom:worrier_anxious_feelings,Worrier / anxious feelings,NA,NA,Worrier / anxious feelings,4
custom:worry_too_long_after_embarrassment,Worry too long after embarrassment,NA,NA,Worry too long after embarrassment,4
custom:ad_alzheimer_s_disease,AD alzheimer's disease,NA,NA,AD alzheimer's disease,3
custom:breast_cancer_in_male_carriers_of_brca1_2_mutations,Breast cancer in male carriers of BRCA1/2 mutations,NA,NA,Breast cancer in male carriers of BRCA1/2 mutations,3
custom:breast_cancer_intrinsic_like_subtype_her2_enriched_like_,Breast cancer intrinsic-like subtype (HER2-enriched-like),NA,NA,Breast cancer intrinsic-like subtype (HER2-enriched-like),3
custom:breast_cancer_intrinsic_like_subtype_luminal_a_like_,Breast cancer intrinsic-like subtype (luminal A-like),NA,NA,Breast cancer intrinsic-like subtype (luminal A-like),3
custom:breast_cancer_intrinsic_like_subtype_luminal_b_her2_negative_like_,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),NA,NA,Breast cancer intrinsic-like subtype (luminal B/HER2-negative-like),3
custom:breast_cancer_intrinsic_like_subtype_luminal_b_like_,Breast cancer intrinsic-like subtype (luminal B-like),NA,NA,Breast cancer intrinsic-like subtype (luminal B-like),3
custom:breast_cancer_intrinsic_like_subtype_triple_negative_,Breast cancer intrinsic-like subtype (triple negative),NA,NA,Breast cancer intrinsic-like subtype (triple negative),3
custom:cancer_of_larynx,Cancer of larynx,NA,NA,Cancer of larynx,3
custom:carcinoma_in_situ_of_skin,Carcinoma in situ of skin,NA,NA,Carcinoma in situ of skin,3
custom:childhood_asthma_by_age_11,Childhood asthma by age 11,NA,NA,Childhood asthma by age 11,3
custom:childhood_asthma_by_age_8,Childhood asthma by age 8,NA,NA,Childhood asthma by age 8,3
custom:cirrhosis_females_,Cirrhosis (females),NA,NA,Cirrhosis (females),3
custom:cirrhosis_males_,Cirrhosis (males),NA,NA,Cirrhosis (males),3
custom:coeliac_disease_in_hla_dq2_5_carriers,Coeliac disease in HLA-DQ2.5 carriers,NA,NA,Coeliac disease in HLA-DQ2.5 carriers,3
custom:coronary_atherosclerosis,coronary atherosclerosis,NA,NA,coronary atherosclerosis,3
custom:crohns_disease,Crohns disease,NA,NA,Crohns disease,3
custom:diagnosed_with_coeliac_disease_or_gluten_sensitivity,Diagnosed with coeliac disease or gluten sensitivity,NA,NA,Diagnosed with coeliac disease or gluten sensitivity,3
custom:discrimination_of_type_1_diabetes_from_type_2_diabetes,Discrimination of Type 1 diabetes from Type 2 diabetes,NA,NA,Discrimination of Type 1 diabetes from Type 2 diabetes,3
custom:genetic_haematological_disorder,Genetic haematological disorder,NA,NA,Genetic haematological disorder,3
custom:hair_colour_natural_before_greying_blonde,"Hair colour (natural, before greying) blonde",NA,NA,"Hair colour (natural, before greying) blonde",3
custom:iga_nephropathy,IgA nephropathy,NA,NA,IgA nephropathy,3
custom:incident_atherosclerotic_cardiovascular_disease_in_individuals_with_borderline_intermediate_risk_of_atherosclerotic_cardiovascular_disease,Incident atherosclerotic cardiovascular disease in individuals with borderline-intermediate risk of atherosclerotic cardiovascular disease,NA,NA,Incident atherosclerotic cardiovascular disease in individuals with borderline-intermediate risk of atherosclerotic cardiovascular disease,3
custom:incident_fibromyalgia_cases,incident fibromyalgia cases,NA,NA,incident fibromyalgia cases,3
custom:incident_kidney_cancer,Incident kidney cancer,NA,NA,Incident kidney cancer,3
custom:invasive_breast_cancer,Invasive breast cancer,NA,NA,Invasive breast cancer,3
custom:iritis,Iritis,NA,NA,Iritis,3
custom:malabsorption_coeliac_disease,Malabsorption/coeliac disease,NA,NA,Malabsorption/coeliac disease,3
custom:obesity_in_individuals_aged_24_29_9,Obesity in individuals aged 24-29.9,NA,NA,Obesity in individuals aged 24-29.9,3
custom:obesity_prevalence,Obesity prevalence,NA,NA,Obesity prevalence,3
custom:obstructive_cad,Obstructive CAD,NA,NA,Obstructive CAD,3
custom:paradoxical_eczema_in_biologic_treated_psoriasis,Paradoxical eczema in biologic-treated  psoriasis,NA,NA,Paradoxical eczema in biologic-treated  psoriasis,3
custom:primary_open_angle_glaucoma,Primary open-angle glaucoma,NA,NA,Primary open-angle glaucoma,3
custom:risk_of_endometrial_cancer,Risk of endometrial cancer,NA,NA,Risk of endometrial cancer,3
custom:sarcoidosis,Sarcoidosis,NA,NA,Sarcoidosis,3
custom:stroke,Stroke,NA,NA,Stroke,3
custom:t2d,T2D,NA,NA,T2D,3
custom:testicular_cancer,Testicular cancer,NA,NA,Testicular cancer,3
custom:tte_alzheimer_s_disease,TTE alzheimer's disease,NA,NA,TTE alzheimer's disease,3
custom:tte_dementia_in_alzheimer_s_disease,TTE dementia in alzheimer's disease,NA,NA,TTE dementia in alzheimer's disease,3
custom:tte_disorders_of_porphyrin_and_bilirubin_metabolism,TTE disorders of porphyrin and bilirubin metabolism,NA,NA,TTE disorders of porphyrin and bilirubin metabolism,3
custom:tte_intestinal_malabsorption,TTE intestinal malabsorption,NA,NA,TTE intestinal malabsorption,3
custom:tte_multiple_sclerosis,TTE multiple sclerosis,NA,NA,TTE multiple sclerosis,3
custom:tte_other_metabolic_disorders,TTE other metabolic disorders,NA,NA,TTE other metabolic disorders,3
custom:tte_otosclerosis,TTE otosclerosis,NA,NA,TTE otosclerosis,3
custom:tte_reactive_arthropathies,TTE reactive arthropathies,NA,NA,TTE reactive arthropathies,3
custom:tte_sarcoidosis,TTE sarcoidosis,NA,NA,TTE sarcoidosis,3
custom:tte_seropositive_rheumatoid_arthritis,TTE seropositive rheumatoid arthritis,NA,NA,TTE seropositive rheumatoid arthritis,3
custom:tte_unspecified_dementia,TTE unspecified dementia,NA,NA,TTE unspecified dementia,3
custom:tte_vascular_dementia,TTE vascular dementia,NA,NA,TTE vascular dementia,3
custom:tte_vitamin_b12_deficiency_anaemia,TTE vitamin b12 deficiency anaemia,NA,NA,TTE vitamin b12 deficiency anaemia,3
custom:type_1_diabetes_diagnosis,Type 1 diabetes diagnosis,NA,NA,Type 1 diabetes diagnosis,3
custom:type_2_diabetes,type 2 diabetes,NA,NA,type 2 diabetes,3
custom:age_related_macular_degeneration,Age-related macular degeneration,NA,NA,Age-related macular degeneration,2
custom:atrial_fibrillation_personal_history_,Atrial Fibrillation (personal history),NA,NA,Atrial Fibrillation (personal history),2
custom:bmi_adjusted_obstructive_sleep_apnea,BMI adjusted obstructive sleep apnea,NA,NA,BMI adjusted obstructive sleep apnea,2
custom:bmi_unadjusted_obstructive_sleep_apnea,BMI unadjusted obstructive sleep apnea,NA,NA,BMI unadjusted obstructive sleep apnea,2
custom:breast_cancer_personal_history_,Breast Cancer (personal history),NA,NA,Breast Cancer (personal history),2
custom:cancer_of_brain_and_nervous_system,Cancer of brain and nervous system,NA,NA,Cancer of brain and nervous system,2
custom:cancer_of_other_male_genital_organs,Cancer of other male genital organs,NA,NA,Cancer of other male genital organs,2
custom:cardiovascular_disease_in_patients_with_type_ii_diabetes_mellitus,Cardiovascular disease in patients with type II diabetes Mellitus,NA,NA,Cardiovascular disease in patients with type II diabetes Mellitus,2
custom:chronic_kidney_disease,Chronic kidney disease,NA,NA,Chronic kidney disease,2
custom:chronic_kidney_disease_egfr_45_ml_min_per_1_73_m2_,Chronic kidney disease (eGFR <45 ml/min per 1.73 m2),NA,NA,Chronic kidney disease (eGFR <45 ml/min per 1.73 m2),2
custom:chronic_kidney_disease_egfr_60_ml_min_per_1_73_m2_,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2),NA,NA,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2),2
custom:chronic_kidney_disease_egfr_60_ml_min_per_1_73_m2_or_uacr_3_0_mg_mmol_,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2 or UACR >3.0 mg/mmol),NA,NA,Chronic kidney disease (eGFR <60 ml/min per 1.73 m2 or UACR >3.0 mg/mmol),2
custom:chronic_kidney_disease_stage_3_or_greater_,Chronic Kidney Disease (stage 3 or greater),NA,NA,Chronic Kidney Disease (stage 3 or greater),2
custom:chronic_obstructive_pulmonary_disease,Chronic obstructive pulmonary disease,NA,NA,Chronic obstructive pulmonary disease,2
custom:colorectal_advanced_neoplasm,Colorectal advanced neoplasm,NA,NA,Colorectal advanced neoplasm,2
custom:colorectal_non_advanced_adenoma,Colorectal non-advanced adenoma,NA,NA,Colorectal non-advanced adenoma,2
custom:coronary_artery_calcium_score_20,Coronary artery calcium score > 20,NA,NA,Coronary artery calcium score > 20,2
custom:coronary_artery_calcium_score_300,Coronary artery calcium score > 300,NA,NA,Coronary artery calcium score > 300,2
custom:coronary_artery_disease_personal_history_,Coronary artery disease (personal history),NA,NA,Coronary artery disease (personal history),2
custom:crohn_s_disease,Crohn's disease,NA,NA,Crohn's disease,2
custom:dilated_cardiomyopathy,Dilated cardiomyopathy,NA,NA,Dilated cardiomyopathy,2
custom:diverticular_disease,Diverticular disease,NA,NA,Diverticular disease,2
custom:dupuytren_s_contracture,Dupuytren's contracture,NA,NA,Dupuytren's contracture,2
custom:esophageal_adenocarcinoma,esophageal adenocarcinoma,NA,NA,esophageal adenocarcinoma,2
custom:estrogen_receptor_nagetive_breast_cancer_risk,estrogen-receptor nagetive breast cancer risk,NA,NA,estrogen-receptor nagetive breast cancer risk,2
custom:estrogen_receptor_negative_breast_cancer,Estrogen-receptor negative breast cancer,NA,NA,Estrogen-receptor negative breast cancer,2
custom:estrogen_receptor_negative_breast_cancer_risk,estrogen-receptor negative breast cancer risk,NA,NA,estrogen-receptor negative breast cancer risk,2
custom:estrogen_receptor_positive_breast_cancer,Estrogen-receptor positive breast cancer,NA,NA,Estrogen-receptor positive breast cancer,2
custom:familial_early_onset_colorectal_cancer,Familial / early-onset colorectal cancer,NA,NA,Familial / early-onset colorectal cancer,2
custom:gout_diagnosis_in_patient_with_arthritis,Gout diagnosis in patient with arthritis,NA,NA,Gout diagnosis in patient with arthritis,2
custom:hair_colour_natural_before_greying_red,"Hair colour (natural, before greying) red",NA,NA,"Hair colour (natural, before greying) red",2
custom:hepatocellular_carcinoma_in_individuals_with_a_body_mass_index_30,Hepatocellular carcinoma in individuals with a body mass index ≥30,NA,NA,Hepatocellular carcinoma in individuals with a body mass index ≥30,2
custom:hepatocellular_carcinoma_in_individuals_with_no_cirrhosis,Hepatocellular carcinoma in individuals with no cirrhosis,NA,NA,Hepatocellular carcinoma in individuals with no cirrhosis,2
custom:hepatocellular_carcinoma_in_individuals_with_type_2_diabetes,Hepatocellular carcinoma in individuals with type 2 diabetes,NA,NA,Hepatocellular carcinoma in individuals with type 2 diabetes,2
custom:incident_all_cause_dementia,Incident all-cause dementia,NA,NA,Incident all-cause dementia,2
custom:incident_atrial_fibrillation,Incident atrial fibrillation,NA,NA,Incident atrial fibrillation,2
custom:incident_blader_cancer,Incident blader cancer,NA,NA,Incident blader cancer,2
custom:incident_cervical_cancer,Incident cervical cancer,NA,NA,Incident cervical cancer,2
custom:incident_coronary_artery_disease,Incident coronary artery disease,NA,NA,Incident coronary artery disease,2
custom:incident_endometrial_cancer,Incident endometrial cancer,NA,NA,Incident endometrial cancer,2
custom:incident_hip_fracture,Incident hip fracture,NA,NA,Incident hip fracture,2
custom:incident_hypertension,Incident hypertension,NA,NA,Incident hypertension,2
custom:incident_hypothyroidism,Incident hypothyroidism,NA,NA,Incident hypothyroidism,2
custom:incident_ischemic_stroke,Incident ischemic stroke,NA,NA,Incident ischemic stroke,2
custom:incident_lymphocytic_leukemia,Incident Lymphocytic Leukemia,NA,NA,Incident Lymphocytic Leukemia,2
custom:incident_major_osteoporotic_fracture,Incident major osteoporotic fracture,NA,NA,Incident major osteoporotic fracture,2
custom:incident_melanoma,Incident melanoma,NA,NA,Incident melanoma,2
custom:incident_narcolepsy,Incident narcolepsy,NA,NA,Incident narcolepsy,2
custom:incident_non_hodgkin_s_lymphoma,Incident non-hodgkin's lymphoma,NA,NA,Incident non-hodgkin's lymphoma,2
custom:incident_oral_cavity_and_pharyngeal_cancer,Incident oral cavity and pharyngeal cancer,NA,NA,Incident oral cavity and pharyngeal cancer,2
custom:incident_ovarian_cancer,Incident ovarian cancer,NA,NA,Incident ovarian cancer,2
custom:incident_pancreatic_cancer,Incident pancreatic cancer,NA,NA,Incident pancreatic cancer,2
custom:incident_testicular_cancer,Incident testicular cancer,NA,NA,Incident testicular cancer,2
custom:incident_thyroid_cancer,Incident thyroid cancer,NA,NA,Incident thyroid cancer,2
custom:kidney_cancer,Kidney cancer,NA,NA,Kidney cancer,2
custom:malignant_neoplasm_of_kidney_except_pelvis,"Malignant neoplasm of kidney, except pelvis",NA,NA,"Malignant neoplasm of kidney, except pelvis",2
custom:malignant_neoplasm_of_rectum_rectosigmoid_junction_and_anus,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",NA,NA,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",2
custom:nasopharyngeal_carcinoma,Nasopharyngeal carcinoma,NA,NA,Nasopharyngeal carcinoma,2
custom:nicotine_metabolism_slow_vs_normal_in_treatment_seeking_smokers,Nicotine metabolism (slow vs normal) in treatment seeking smokers,NA,NA,Nicotine metabolism (slow vs normal) in treatment seeking smokers,2
custom:nodular_lymphoma,Nodular lymphoma,NA,NA,Nodular lymphoma,2
custom:non_hodgkins_lymphoma,Non-Hodgkins lymphoma,NA,NA,Non-Hodgkins lymphoma,2
custom:nonalcoholic_fatty_liver_disease_severity_nafld_activity_score_above_5_,Nonalcoholic fatty liver disease severity (NAFLD activity score above 5),NA,NA,Nonalcoholic fatty liver disease severity (NAFLD activity score above 5),2
custom:obesity_bmi_25_,Obesity (BMI≥25),NA,NA,Obesity (BMI≥25),2
custom:paroxysmal_atrial_fibrillation,Paroxysmal atrial fibrillation,NA,NA,Paroxysmal atrial fibrillation,2
custom:prevalent_gout_cases,Prevalent gout cases,NA,NA,Prevalent gout cases,2
custom:prevalent_type_2_diabetes,Prevalent type 2 diabetes,NA,NA,Prevalent type 2 diabetes,2
custom:prostate_cancer_incidence_in_men_with_symptoms,Prostate cancer incidence in men with symptoms,NA,NA,Prostate cancer incidence in men with symptoms,2
custom:psoriatic_arthritis_diagnosis_in_patient_with_arthritis,Psoriatic arthritis diagnosis in patient with arthritis,NA,NA,Psoriatic arthritis diagnosis in patient with arthritis,2
custom:risk_of_mitral_valve_prolapse,Risk of mitral valve prolapse,NA,NA,Risk of mitral valve prolapse,2
custom:spondyloarthropathy_diagnosis_in_patient_with_arthritis,Spondyloarthropathy diagnosis in patient with arthritis,NA,NA,Spondyloarthropathy diagnosis in patient with arthritis,2
custom:subsequent_thyroid_cancer_in_childhood_cancer_survivors_aged_40,Subsequent thyroid cancer in childhood cancer survivors aged 40,NA,NA,Subsequent thyroid cancer in childhood cancer survivors aged 40,2
custom:subsequent_thyroid_cancer_in_childhood_cancer_survivors_aged_50,Subsequent thyroid cancer in childhood cancer survivors aged 50,NA,NA,Subsequent thyroid cancer in childhood cancer survivors aged 50,2
custom:systemic_lupus_erythematosus_diagnosis_in_patient_with_arthritis,Systemic lupus erythematosus diagnosis in patient with arthritis,NA,NA,Systemic lupus erythematosus diagnosis in patient with arthritis,2
custom:type_2_diabetes_incident_and_prevalent_,Type 2 diabetes (incident and prevalent),NA,NA,Type 2 diabetes (incident and prevalent),2
custom:10_year_colorectal_cancer_risk,10 year colorectal cancer risk,NA,NA,10 year colorectal cancer risk,1
custom:10_year_risk_of_colorectal_cancer,10-year risk of colorectal cancer,NA,NA,10-year risk of colorectal cancer,1
custom:5_year_colorectal_cancer_risk,5 year colorectal cancer risk,NA,NA,5 year colorectal cancer risk,1
custom:acute_appendicitis,Acute appendicitis,NA,NA,Acute appendicitis,1
custom:adenomyosis,Adenomyosis,NA,NA,Adenomyosis,1
custom:advanced_colorectal_neoplasia,Advanced colorectal neoplasia,NA,NA,Advanced colorectal neoplasia,1
custom:advanced_colorectal_neoplasia_fob_gold_model_,Advanced colorectal neoplasia (FOB Gold model),NA,NA,Advanced colorectal neoplasia (FOB Gold model),1
custom:advanced_colorectal_neoplasia_ridascreen_model_,Advanced colorectal neoplasia (Ridascreen model),NA,NA,Advanced colorectal neoplasia (Ridascreen model),1
custom:advanced_glaucoma,Advanced glaucoma,NA,NA,Advanced glaucoma,1
custom:alzheimer_s_disease_or_dementia,Alzheimer's disease or dementia,NA,NA,Alzheimer's disease or dementia,1
custom:alzheimer_s_disease_or_mild_cognitive_impairment,Alzheimer's disease or mild cognitive impairment,NA,NA,Alzheimer's disease or mild cognitive impairment,1
custom:appendectomy,Appendectomy,NA,NA,Appendectomy,1
custom:asthma_onset,Asthma onset,NA,NA,Asthma onset,1
custom:bladder_cancer,Bladder cancer,NA,NA,Bladder cancer,1
custom:breast_cancer,breast cancer,NA,NA,breast cancer,1
custom:breast_cancer_latin_american_women_,Breast cancer (Latin american women),NA,NA,Breast cancer (Latin american women),1
custom:breast_cancer_us_latinas_,Breast cancer (US Latinas),NA,NA,Breast cancer (US Latinas),1
custom:breast_carcinoma,Breast carcinoma,NA,NA,Breast carcinoma,1
custom:cad,CAD,NA,NA,CAD,1
custom:cancer_of_eye,Cancer of eye,NA,NA,Cancer of eye,1
custom:cancer_of_other_female_genital_organs,Cancer of other female genital organs,NA,NA,Cancer of other female genital organs,1
custom:cardiomyopathy,Cardiomyopathy,NA,NA,Cardiomyopathy,1
custom:cervical_cancer,cervical cancer,NA,NA,cervical cancer,1
custom:chronic_back_pain,Chronic back pain,NA,NA,Chronic back pain,1
custom:chronic_lymphoid_leukemia,Chronic lymphoid leukemia,NA,NA,Chronic lymphoid leukemia,1
custom:class_iii_iv_lupus_nephritis_in_anti_sm_positive_systemic_lupus_erythematosus,Class III/IV lupus nephritis in anti-sm positive systemic lupus erythematosus,NA,NA,Class III/IV lupus nephritis in anti-sm positive systemic lupus erythematosus,1
custom:class_v_lupus_nephritis_in_anti_sm_positive_systemic_lupus_erythematosus,Class V lupus nephritis in anti-sm positive systemic lupus erythematosus,NA,NA,Class V lupus nephritis in anti-sm positive systemic lupus erythematosus,1
custom:clear_cell_renal_cell_carcinoma,Clear cell renal cell carcinoma,NA,NA,Clear cell renal cell carcinoma,1
custom:clinical_dementia_rating_global_score_1,Clinical Dementia Rating global score ≥ 1,NA,NA,Clinical Dementia Rating global score ≥ 1,1
custom:clinically_significant_prostate_cancer,Clinically significant prostate cancer,NA,NA,Clinically significant prostate cancer,1
custom:clinically_significant_prostate_cancer_in_screened_individuals,clinically significant prostate cancer in screened individuals,NA,NA,clinically significant prostate cancer in screened individuals,1
custom:colorectal_cancer,colorectal cancer,NA,NA,colorectal cancer,1
custom:colorectal_carcinoma,Colorectal carcinoma,NA,NA,Colorectal carcinoma,1
custom:coronary_artery_disease,coronary artery disease,NA,NA,coronary artery disease,1
custom:coronary_artery_disease_in_childhood_cancer_survivors_aged_10_years_at_diagnosis_and_treated_with_25_gy,Coronary artery disease in childhood cancer survivors aged <10 years at diagnosis and treated with >25 Gy,NA,NA,Coronary artery disease in childhood cancer survivors aged <10 years at diagnosis and treated with >25 Gy,1
custom:cortical_amyloid_positivity,Cortical amyloid positivity,NA,NA,Cortical amyloid positivity,1
custom:diffuse_large_b_cell_lymphoma,Diffuse large B-cell lymphoma,NA,NA,Diffuse large B-cell lymphoma,1
custom:distal_colon_cancer,Distal colon cancer,NA,NA,Distal colon cancer,1
custom:early_age_related_macular_degeneration_clinical_classification_,Early age-related macular degeneration (Clinical Classification),NA,NA,Early age-related macular degeneration (Clinical Classification),1
custom:early_cad,Early CAD,NA,NA,Early CAD,1
custom:early_onset_acute_myocardial_infarction_following_percutaneous_coronary_intervention,Early onset acute myocardial infarction following  percutaneous coronary intervention,NA,NA,Early onset acute myocardial infarction following  percutaneous coronary intervention,1
custom:early_onset_acute_myocardial_infarction_following_percutaneous_coronary_intervention,Early onset acute myocardial infarction following percutaneous coronary intervention,NA,NA,Early onset acute myocardial infarction following percutaneous coronary intervention,1
custom:early_onset_colorectal_cancer,Early-onset colorectal cancer,NA,NA,Early-onset colorectal cancer,1
custom:early_onset_colorectal_cancer_men_,Early-onset colorectal cancer (men),NA,NA,Early-onset colorectal cancer (men),1
custom:early_onset_colorectal_cancer_women_,Early-onset colorectal cancer (women),NA,NA,Early-onset colorectal cancer (women),1
custom:early_onset_lung_cancer_50_years_,Early onset lung cancer (< 50 years),NA,NA,Early onset lung cancer (< 50 years),1
custom:early_onset_prostate_cancer,Early-onset prostate cancer,NA,NA,Early-onset prostate cancer,1
custom:endometrial_cancer,Endometrial cancer,NA,NA,Endometrial cancer,1
custom:endometriosis_other_subtype,Endometriosis - other subtype,NA,NA,Endometriosis - other subtype,1
custom:eoe,EoE,NA,NA,EoE,1
custom:epithelial_non_mucinous_ovarian_cancer_in_brca1_carriers,Epithelial non-mucinous ovarian cancer in BRCA1 carriers,NA,NA,Epithelial non-mucinous ovarian cancer in BRCA1 carriers,1
custom:epithelial_non_mucinous_ovarian_cancer_in_brca2_carriers,Epithelial non-mucinous ovarian cancer in BRCA2 carriers,NA,NA,Epithelial non-mucinous ovarian cancer in BRCA2 carriers,1
custom:esophageal_cancer,Esophageal cancer,NA,NA,Esophageal cancer,1
custom:estrogen_receptor_negative_breast_cancer,Estrogen receptor negative breast cancer,NA,NA,Estrogen receptor negative breast cancer,1
custom:estrogen_receptor_positive_breast_cancer,Estrogen receptor positive breast cancer,NA,NA,Estrogen receptor positive breast cancer,1
custom:familial_cutaneous_melanoma_in_non_carriers_of_a_cdkn2a_mutation,Familial cutaneous melanoma in non-carriers of a CDKN2A mutation,NA,NA,Familial cutaneous melanoma in non-carriers of a CDKN2A mutation,1
custom:follicular_lymphoma,Follicular lymphoma,NA,NA,Follicular lymphoma,1
custom:full_lifetime_risk_of_colorectal_cancer,Full lifetime risk of colorectal cancer,NA,NA,Full lifetime risk of colorectal cancer,1
custom:gastric_cancer,Gastric cancer,NA,NA,Gastric cancer,1
custom:gestational_diabetes_mellitus_in_early_pregnancy,Gestational diabetes mellitus in early pregnancy,NA,NA,Gestational diabetes mellitus in early pregnancy,1
custom:gestational_thrombocytopenia,Gestational Thrombocytopenia,NA,NA,Gestational Thrombocytopenia,1
custom:gleason_7_prostate_cancer_risk_in_10_years,Gleason <=7 prostate cancer risk in 10 years,NA,NA,Gleason <=7 prostate cancer risk in 10 years,1
custom:gleason_8_prostate_cancer_risk_in_10_years,Gleason >=8 prostate cancer risk in 10 years,NA,NA,Gleason >=8 prostate cancer risk in 10 years,1
custom:glioblastoma,glioblastoma,NA,NA,glioblastoma,1
custom:glioma,Glioma,NA,NA,Glioma,1
custom:glucocorticoid_induced_hyperglycemia,Glucocorticoid-induced hyperglycemia,NA,NA,Glucocorticoid-induced hyperglycemia,1
custom:head_and_neck_squamous_cell_carcinoma,head and neck squamous cell carcinoma,NA,NA,head and neck squamous cell carcinoma,1
custom:heart_failure,Heart Failure,NA,NA,Heart Failure,1
custom:heart_failure,Heart failure,NA,NA,Heart failure,1
custom:hf,HF,NA,NA,HF,1
custom:high_myopia_aged_18_years_,High myopia (aged >18 years),NA,NA,High myopia (aged >18 years),1
custom:high_myopia_aged_6_years_,High myopia (aged <6 years),NA,NA,High myopia (aged <6 years),1
custom:high_myopia_aged_7_18_years_,High myopia (aged 7-18 years),NA,NA,High myopia (aged 7-18 years),1
custom:idiopathic_pulmonary_fibrosis,Idiopathic pulmonary fibrosis,NA,NA,Idiopathic pulmonary fibrosis,1
custom:incident_atherosclerotic_cardiovascular_disease,Incident atherosclerotic cardiovascular disease,NA,NA,Incident atherosclerotic cardiovascular disease,1
custom:incident_atherosclerotic_cardiovascular_disease_in_individuals_with_borderline_intermediate_risk_ofatherosclerotic_cardiovascular_disease,Incident atherosclerotic cardiovascular disease in individuals with borderline-intermediate risk ofatherosclerotic cardiovascular disease,NA,NA,Incident atherosclerotic cardiovascular disease in individuals with borderline-intermediate risk ofatherosclerotic cardiovascular disease,1
custom:incident_bladder_cancer,Incident bladder cancer,NA,NA,Incident bladder cancer,1
custom:incident_cardiovascular_event,Incident cardiovascular event,NA,NA,Incident cardiovascular event,1
custom:incident_epithelial_ovarian_cancer,Incident epithelial ovarian cancer,NA,NA,Incident epithelial ovarian cancer,1
custom:incident_idiopathic_pulmonary_fibrosis_cases,incident idiopathic pulmonary fibrosis cases,NA,NA,incident idiopathic pulmonary fibrosis cases,1
custom:incident_lung_cancer_in_never_smokers,Incident lung cancer in never smokers,NA,NA,Incident lung cancer in never smokers,1
custom:incident_lung_cancer_in_smokers,Incident lung cancer in smokers,NA,NA,Incident lung cancer in smokers,1
